Gene_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene_Name	Gene_ID_truncated
ENSMUSG00000000149.11	2713.66034903365	0.316467700889932	0.0935960547763966	7.46213388319675e-05	0.00274530095341651	Gna12	ENSMUSG00000000149
ENSMUSG00000000538.19	8001.40944839964	0.160010557470306	0.058945628008729	0.00254352788436886	0.0295712198413549	Tom1l2	ENSMUSG00000000538
ENSMUSG00000000552.11	1710.59487564531	0.217213762500463	0.117290175867179	0.00917753091267088	0.066700809066584	Zfp385a	ENSMUSG00000000552
ENSMUSG00000000594.8	1339.67251745064	0.243862935192782	0.0945309184013915	0.00139497569512013	0.0203071430808541	Gm2a	ENSMUSG00000000594
ENSMUSG00000000631.21	4872.9764608659	0.184360413093494	0.0973156066251404	0.0119192187594433	0.0794362386951372	Myo18a	ENSMUSG00000000631
ENSMUSG00000000740.13	5315.99685538992	0.215026711148867	0.11066037165955	0.00787246011697262	0.0599616116833478	Rpl13	ENSMUSG00000000740
ENSMUSG00000000776.14	360.859077370404	0.309986963024857	0.172768911588281	0.00513151765410241	0.0454510606494768	Polr3d	ENSMUSG00000000776
ENSMUSG00000001036.18	3351.04440499167	0.184122699565392	0.0713464232252105	0.00235865846339721	0.0280919104423286	Epn2	ENSMUSG00000001036
ENSMUSG00000001089.15	4144.9798664119	0.189256987291589	0.053459934431947	0.000101168312398254	0.00348698559576711	Luzp1	ENSMUSG00000001089
ENSMUSG00000001156.10	686.621445387544	0.185550207976534	0.109209379698732	0.0166663162688336	0.0988177892064771	Mxd1	ENSMUSG00000001156
ENSMUSG00000001211.16	7694.49112942503	0.250279077616449	0.0982356166906381	0.0014443814076996	0.0208176999299809	Agpat3	ENSMUSG00000001211
ENSMUSG00000001227.13	2657.49414991146	0.154710486983835	0.07247417168876	0.0100585810904476	0.0709506838777878	Sema6b	ENSMUSG00000001227
ENSMUSG00000001270.10	31742.7518873595	0.184306844878905	0.0685042202670262	0.00175564703223041	0.0236020154930622	Ckb	ENSMUSG00000001270
ENSMUSG00000001313.13	2332.65367305606	0.280394531349483	0.0937990779691598	0.000330825836484985	0.00779869057371945	Rnd2	ENSMUSG00000001313
ENSMUSG00000001467.6	1878.03427501936	0.174962534765014	0.0774102489215274	0.00596017778066784	0.05021633736317	Cyp51	ENSMUSG00000001467
ENSMUSG00000001472.18	15394.9278271844	0.113504264311468	0.0530580151439605	0.0144245360243085	0.0899618324029951	Tcf25	ENSMUSG00000001472
