Gene_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene_Name	Gene_ID_truncated
ENSMUSG00000084885.8	17.2301123683697	-7.17368601784216e-07	0.00144269219458896	0.595032398868748	0.999919353198441	3010001F23Rik	ENSMUSG00000084885
ENSMUSG00000084890.3	515.641083001305	1.67448404245411e-06	0.00144263544588516	0.799110049043805	0.999919353198441	A830036E02Rik	ENSMUSG00000084890
ENSMUSG00000084896.2	8.51088339974669	2.72527519121731e-06	0.00144269534355287	0.00173947627193296	0.677259917765443	Gm11632	ENSMUSG00000084896
ENSMUSG00000084898.3	43.0249898399413	-1.25857717981094e-06	0.00144268388612715	0.659202383703183	0.999919353198441	Gm12371	ENSMUSG00000084898
ENSMUSG00000084904.2	109.966158744681	2.5912123517001e-06	0.00144266781335834	0.567636062254149	0.999919353198441	Gm14827	ENSMUSG00000084904
ENSMUSG00000084910.3	130.717274778578	-2.22869672330867e-06	0.00144266264360317	0.647755762681443	0.999919353198441	C630043F03Rik	ENSMUSG00000084910
ENSMUSG00000084911.2	117.715169357898	-5.59579398624334e-06	0.00144267391773711	0.199586215985568	0.999919353198441	Gm16185	ENSMUSG00000084911
ENSMUSG00000084915.3	49.1981275332477	-7.56894334644958e-06	0.00144269337086108	0.0092296384051717	0.999919353198441	C230037L18Rik	ENSMUSG00000084915
ENSMUSG00000084925.9	15.0981640128471	1.21821818710342e-06	0.00144269148984878	0.459205575570649	0.999919353198441	1810062O18Rik	ENSMUSG00000084925
ENSMUSG00000084946.4	230.911571289715	-1.27011253696779e-06	0.00144263940597232	0.840260094463923	0.999919353198441	Dlx1as	ENSMUSG00000084946
ENSMUSG00000084950.8	54.4433248215674	1.26614252870615e-06	0.00144268259090338	0.675457308465399	0.999919353198441	Gm5577	ENSMUSG00000084950
ENSMUSG00000084957.4	375.616411195161	6.12786225828856e-06	0.00144261849646801	0.429068331224354	0.999919353198441	Bbip1	ENSMUSG00000084957
ENSMUSG00000084968.2	12.544794699853	-1.72841843220205e-07	0.00144269176650365	0.90819887951049	0.999919353198441	Gm12743	ENSMUSG00000084968
ENSMUSG00000084974.2	23.8067588664133	-2.833376205614e-07	0.00144268869454582	0.892267054452199	0.999919353198441	Gm15567	ENSMUSG00000084974
ENSMUSG00000084989.4	36.5696152271666	-1.49277605566055e-06	0.00144268602030694	0.564000236176499	0.999919353198441	Crocc2	ENSMUSG00000084989
ENSMUSG00000084998.2	23.3996848542196	-3.77362767637478e-06	0.00144269163954117	0.0677416558138794	0.999919353198441	Gm16279	ENSMUSG00000084998
ENSMUSG00000085001.2	13.9221645847853	-4.86321940788519e-07	0.00144269197342652	0.735884298741559	0.999919353198441	Rapgef4os2	ENSMUSG00000085001
ENSMUSG00000085007.4	360.967422155174	3.18077963611947e-06	0.00144263002613958	0.646685666813025	0.999919353198441	Smim43	ENSMUSG00000085007
ENSMUSG00000085030.2	124.1521911868	3.20445003028213e-06	0.00144266633123683	0.493893594703445	0.999919353198441	2810455O05Rik	ENSMUSG00000085030
ENSMUSG00000085037.2	224.955168821002	2.0676336173583e-06	0.00144264622370993	0.730135016733097	0.999919353198441	4933421O10Rik	ENSMUSG00000085037
ENSMUSG00000085039.3	17.1018324909911	9.41940578934929e-07	0.00144269107151741	0.582858912479341	0.999919353198441	Gm15927	ENSMUSG00000085039
ENSMUSG00000085058.3	30.7259987263711	-2.33198879593804e-06	0.00144268813173854	0.325142707416152	0.999919353198441	8030453O22Rik	ENSMUSG00000085058
ENSMUSG00000085067.4	131.582267782097	1.24447868385241e-06	0.00144266566608973	0.788479163651244	0.999919353198441	Gm15631	ENSMUSG00000085067
ENSMUSG00000085069.3	282.406936007885	-1.1803179202875e-06	0.0014426282977728	0.800665197932172	0.999919353198441	Prdm16os	ENSMUSG00000085069
ENSMUSG00000085072.2	17.6057307855111	1.91911113592875e-07	0.00144269060031026	0.915329330212468	0.999919353198441	Ict1os	ENSMUSG00000085072
ENSMUSG00000085084.9	154.905249585367	2.52432814645912e-06	0.00144266365927513	0.598527234719579	0.999919353198441	4930570G19Rik	ENSMUSG00000085084
ENSMUSG00000085105.3	34.9046065622606	6.26957838142638e-07	0.0014426862347652	0.805345098717232	0.999919353198441	Gm12758	ENSMUSG00000085105
ENSMUSG00000085112.3	9.99949904396791	2.64645750633025e-08	0.00144269300031459	0.983227014598456	0.999919353198441	A530072M11Rik	ENSMUSG00000085112
ENSMUSG00000085118.3	10.6414195121138	3.14353306404345e-07	0.00144269223142536	0.825879297513957	0.999919353198441	Gm15774	ENSMUSG00000085118
ENSMUSG00000085133.3	1403.99662031546	8.55152629230955e-07	0.00144247686515281	0.9463365887115	0.999919353198441	B930095G15Rik	ENSMUSG00000085133
