Gene_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene_Name	Gene_ID_truncated
ENSMUSG00000000149.11	2713.66034903365	0.316467700889932	0.0935960547763966	7.46213388319675e-05	0.00274530095341651	Gna12	ENSMUSG00000000149
ENSMUSG00000000266.12	1066.46841545267	-0.23352275140772	0.122184813626878	0.00676885559510297	0.0539965575789366	Mid2	ENSMUSG00000000266
ENSMUSG00000000538.19	8001.40944839964	0.160010557470306	0.058945628008729	0.00254352788436886	0.0295712198413549	Tom1l2	ENSMUSG00000000538
ENSMUSG00000000552.11	1710.59487564531	0.217213762500463	0.117290175867179	0.00917753091267088	0.066700809066584	Zfp385a	ENSMUSG00000000552
ENSMUSG00000000560.10	1043.95213625231	-0.307486258183442	0.102383776327287	0.000258610728628602	0.00665811141929178	Gabra2	ENSMUSG00000000560
ENSMUSG00000000594.8	1339.67251745064	0.243862935192782	0.0945309184013915	0.00139497569512013	0.0203071430808541	Gm2a	ENSMUSG00000000594
ENSMUSG00000000600.16	1267.44645826312	-0.372726644801207	0.0938222889096861	5.85646076795518e-06	0.000454175187623979	Krit1	ENSMUSG00000000600
ENSMUSG00000000631.21	4872.9764608659	0.184360413093494	0.0973156066251404	0.0119192187594433	0.0794362386951372	Myo18a	ENSMUSG00000000631
ENSMUSG00000000740.13	5315.99685538992	0.215026711148867	0.11066037165955	0.00787246011697262	0.0599616116833478	Rpl13	ENSMUSG00000000740
ENSMUSG00000000759.15	1189.45036503169	-0.20214563488613	0.079082548267878	0.00203274304595591	0.0257852321879668	Tubgcp3	ENSMUSG00000000759
ENSMUSG00000000776.14	360.859077370404	0.309986963024857	0.172768911588281	0.00513151765410241	0.0454510606494768	Polr3d	ENSMUSG00000000776
ENSMUSG00000000787.13	7026.50515113805	-0.368133938885158	0.0691763459701696	9.29691784453264e-09	3.42955761243314e-06	Ddx3x	ENSMUSG00000000787
ENSMUSG00000000823.17	1205.40158357517	-0.356785075746123	0.128978420483303	0.000412083835875126	0.00895626158576368	Zfp512b	ENSMUSG00000000823
ENSMUSG00000000838.18	1758.3507041505	-0.345389870476876	0.122113677297157	0.000362619052878064	0.00824897908788784	Fmr1	ENSMUSG00000000838
ENSMUSG00000000948.17	336.538447841575	-0.271282226727241	0.192559790338279	0.0107211441768666	0.0739802309757596	Gm38393	ENSMUSG00000000948
ENSMUSG00000001036.18	3351.04440499167	0.184122699565392	0.0713464232252105	0.00235865846339721	0.0280919104423286	Epn2	ENSMUSG00000001036
ENSMUSG00000001089.15	4144.9798664119	0.189256987291589	0.053459934431947	0.000101168312398254	0.00348698559576711	Luzp1	ENSMUSG00000001089
ENSMUSG00000001119.8	704.464604501504	-0.232622017619377	0.184721964261981	0.0168603220003592	0.0996709597822147	Col6a1	ENSMUSG00000001119
ENSMUSG00000001156.10	686.621445387544	0.185550207976534	0.109209379698732	0.0166663162688336	0.0988177892064771	Mxd1	ENSMUSG00000001156
