pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.476190476190476	0.79180490076247	0.0860347242455604	0.413077128678316	0.993504340039193	13	Mmp17,Mmp15,Timp2,Mmp24,Ctsl,Mmp2
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	0.477586206896552	0.79180490076247	0.0738052724171275	-0.388654621686277	-0.993317407558506	22	Flna,Ppp1cb,Pak3,Ppp1r12a
REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER	0.478920741989882	0.79180490076247	0.0725351864394589	-0.344541409995966	-0.99300696063773	38	Ddb2,Cops2,Parp2,Ino80d,Cul4b,Ino80,Rad23b,Cops3,Cetn2
REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS	0.468950749464668	0.787451879760832	0.0862865626267245	0.438003964437014	0.991266796049958	11	Fxn,Iscu,Glrx5,Hscb,Isca1,Fdx2
REACTOME_RHOQ_GTPASE_CYCLE	0.457142857142857	0.786501687289089	0.0718276293603809	-0.32427443899578	-0.990844403059744	54	Tfrc,Arhgap21,Arhgap5,Slc4a7,Iqgap1,Cdc42bpa,Ophn1,Cdc42bpb,Snap23,Cdc42,Mpp7
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	0.472854640980736	0.790200681103562	0.0751181635276301	-0.392667023755028	-0.989851664445297	21	Xpo1,Ccnh,Bora
REACTOME_SODIUM_CALCIUM_EXCHANGERS	0.48471615720524	0.792458809548262	0.0855356947987884	0.427565869795063	0.989238232896063	12	Calm3,Slc8a2
REACTOME_NEDDYLATION	0.479250334672021	0.79180490076247	0.0611692626746689	-0.272203483039105	-0.989172832534706	194	Wsb1,Fbxo11,Psmc6,Dcaf17,Cul3,Ddb2,Ufd1,Hif1a,Psma3,Nae1,Psma1,Cops2,Fbxl3,Ube2d2a,Fbxl5,Cul4b,Commd8,Uba3,Fbxw7,Commd3
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.465478841870824	0.787451879760832	0.088894528862045	0.400033436472802	0.988821210810462	15	Rhob,Sema4d,Arhgef11,Arhgap35,Rnd1,Rhoc
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	0.480565371024735	0.792458809548262	0.0747385227439092	-0.402468880785745	-0.988160459512933	18	Anapc4,Cdc27,Anapc1,Ube2e1,Anapc10,Anapc5
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.493167701863354	0.795255666842383	0.0562940749700968	-0.261506481109687	-0.98809129586339	298	Wsb1,Dzip3,Fbxo11,Psmc6,Tpp2,Cul3,Rbbp6,Uba6,Anapc4,Ube3a,Huwe1,Psma3,Cdc27,Psma1,Wwp1,Hace1,Herc6,Fbxl3,Ube2q2,Ube2d2a,Fbxl5,Uba5,Uba3,Rnf6,Hectd1,Fbxw7,Trim39,Ubr1,Ube2v2,Lnpep,Skp2,Eloc,Ltn1,Sec24b,Hectd2,Anapc1,Ube2e1,Snap23,Glmn,Cul2,Canx,Asb13,Herc1,Rnf111,Psma2,Cblb,Anapc10,Fbxw5,Ube2g1,Ube2k
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	0.485086342229199	0.792458809548262	0.0683110858318647	-0.310641310042727	-0.987783871482565	69	Tfrc,Pik3c2a,Clvs1,Snx2,Ap1s2,Tbc1d8b,Dnase2a,Cltc,Clvs2,Picalm,Ap4e1,Ocrl
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.487878787878788	0.793058469914365	0.104343952581949	0.271844024812192	0.986058153424825	86	Fzd4,Grk2,Trf,Vamp2,Syt11,Cltb,Epn2,Epn1,Ap2a2,Cops7a,Hgs,Ldlr,Ubc,Ubb,Sh3gl3,Clta,Vamp8
REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY	0.478108581436077	0.79180490076247	0.0745500777420554	-0.391144922649648	-0.986014687511999	21	Hgf,Eps15,Stam,Ptpn2,Cbl
REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS	0.470308788598575	0.787451879760832	0.0919686140000427	0.351306685188591	0.984809089933132	24	Actb,Smarcc2,Smarca4,Bcl11b,Smarcd3,Arid1a,Smarcd1,Smarcb1,Bcl7a,Dpf3
REACTOME_DUAL_INCISION_IN_GG_NER	0.5	0.8003663003663	0.0702812841717392	-0.339572376195477	-0.98471802854487	39	Ddb2,Gtf2h2,Parp2,Cul4b,Polk,Rfc1,Gtf2h3,Rfc3,Gtf2h1,Rfc2
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS	0.483760683760684	0.792458809548262	0.0727141077934447	-0.375239357696654	-0.984623404125224	25	Ogt,Hsp90aa1,Tnfsf10,Pdcd6ip,Birc2,Xiap,Sdcbp
REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES	0.491392801251956	0.79417485791283	0.0675188953767744	-0.313309917650074	-0.983668986116446	62	Ranbp2,Taok1,Xpo1,Ckap5,Ahctf1,Dync1i2,Pafah1b1,Clasp2,Nup85,Rps27,Kif2a,Cenpc1,Zw10
