pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY	0.789168278529981	0.905371034011348	0.0550211117163117	-0.327037881863521	-0.713915975904483	11	Birc3,Tnfrsf12a,Tnfrsf11a,Tnfsf13b,Xiap
REACTOME_ER_PHAGOSOME_PATHWAY	0.85531914893617	0.940873061023249	0.0557104226766671	-0.259761458714067	-0.711990676729243	33	H2-K1,Psmb10,Psma5,Psmb8,Psmb7,Psmb6,Psmb3,Psma6,Psma7,Psmb4,H2-M3
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	0.812371134020619	0.918172072697245	0.0566484183613995	0.322456534849618	0.711530543365405	11	Tnfsf10,Tradd,Traf2
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.834677419354839	0.930187770823303	0.0543434390269162	0.286586685171155	0.710678290830995	18	Bmf,Bcl2,Dynll1,Bcl2l11
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	0.93	0.967804878048781	0.0489954089862481	0.228139433946883	0.708210995887249	53	Arnt,Fdxr,Paox,Ahr,Aoc2,Ptges3,Aoc3,Cyp4f15,Cyb5b
REACTOME_ERKS_ARE_INACTIVATED	0.842315369261477	0.932898109837186	0.053457214108991	0.306301710619691	0.707597206074393	13	Dusp7,Mapk7,Ppp2r1b,Dusp4,Dusp6
REACTOME_SIGNALING_BY_NOTCH1	0.840725806451613	0.932898109837186	0.0540088272801684	0.285170456739827	0.70716632445893	18	Ep300,Dtx4,Itch,Kat2b,Maml1,Jag2,Rbpj,Dtx2,Mamld1
REACTOME_SIGNALING_BY_SCF_KIT	0.881679389312977	0.952607339176942	0.0492917662312669	0.249364036939812	0.707020896556622	32	Cbl,Ptpru,Lyn,Grb7,Grb10,Fes,Grap,Kras,Yes1,Sos1
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.826883910386965	0.926109979633401	0.0552495663125249	-0.264712151403665	-0.706332157893191	27	Ptpn11,Rapgef1,Grb2,Bcar1,Pik3r1,Pik3ca,Pdgfra,Nck2,Pik3cb,Pdgfa
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	0.822834645669291	0.923884514435695	0.0538979025357319	-0.317445109157153	-0.705747310938947	12	Nt5c3b,Exosc4,Exosc1,Exosc2
