Gene_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene_Name	Gene_ID_truncated
ENSMUSG00000000567.6	567.820574326922	0.617840381748911	0.127576247046963	5.4107215569071e-08	2.41465746571427e-05	Sox9	ENSMUSG00000000567
ENSMUSG00000001774.9	1220.87778267429	0.38443580177704	0.0983806798710426	4.3224180627207e-06	0.00117881945943866	Chordc1	ENSMUSG00000001774
ENSMUSG00000002028.14	4721.1700129144	0.226729512928903	0.0755592809440121	0.000133546695503843	0.0183807680811691	Kmt2a	ENSMUSG00000002028
ENSMUSG00000002625.11	1868.57701839283	0.294473480403987	0.0850617381436822	2.57517440187436e-05	0.0053414920304794	Akap8l	ENSMUSG00000002625
ENSMUSG00000004561.15	342.356290720054	0.499834887927394	0.154197510627448	4.40319243579334e-05	0.00820833101290235	Mettl17	ENSMUSG00000004561
ENSMUSG00000007617.19	3532.4052310278	0.306403949413883	0.0667734216809908	2.31837895238728e-07	9.22777481940744e-05	Homer1	ENSMUSG00000007617
ENSMUSG00000007850.17	3422.27579178396	0.294197045215114	0.070975074284123	1.90800949325801e-06	0.000565841723362504	Hnrnph1	ENSMUSG00000007850
ENSMUSG00000007872.4	333.422853154824	0.386711061899592	0.1808058865925	0.000947164117319478	0.0810981741614183	Id3	ENSMUSG00000007872
ENSMUSG00000014748.14	994.590434624422	0.289183838670116	0.109934770581126	0.000331269335858943	0.0368919750666036	Tex261	ENSMUSG00000014748
ENSMUSG00000015451.17	23.1954703168603	1.99736210808423	0.627485335308647	3.50880770042272e-05	0.00688989480055005	C4a	ENSMUSG00000015451
ENSMUSG00000019916.15	844.986755635411	0.354670178453035	0.113964896992237	7.36869814434287e-05	0.0118029874224961	P4ha1	ENSMUSG00000019916
ENSMUSG00000020196.11	1790.83083352686	0.35264786695221	0.078801949838151	3.83034656194013e-07	0.000141023784544231	Cabin1	ENSMUSG00000020196
ENSMUSG00000021068.18	821.748571902628	0.340869299462911	0.122342322943667	0.000195703174306846	0.0240176720668077	Nin	ENSMUSG00000021068
ENSMUSG00000021258.11	524.068702807405	0.305760104263439	0.137813691659527	0.0008919266374351	0.0781869261280162	Ccnk	ENSMUSG00000021258
ENSMUSG00000021327.20	644.123859722534	0.370198433984549	0.124251259067035	0.000110944168366468	0.0161769778963661	Zkscan3	ENSMUSG00000021327
ENSMUSG00000021374.11	1103.6201255062	0.304889916104158	0.113007774667432	0.000263102275018441	0.0300364899550123	Nup153	ENSMUSG00000021374
ENSMUSG00000021392.9	307.813869446179	0.400131557259588	0.184947685449416	0.000902644091791303	0.0785857601732699	Nol8	ENSMUSG00000021392
