pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ESTROGEN_RESPONSE_LATE	0.000214590162448936	0.000894125676870566	0.518848077743792	0.428530097535724	1.69076029165794	146	Fos,Egr3,Blvrb,Dhcr7,Aff1,Klf4,Ptges,Ckb,Fkbp4,Fgfr3,Nab2,Elovl5,Cish,Fkbp5,Xbp1,Wfs1,Hspb8,Igfbp4,Il6st,Cxcl14,Ccnd1,Fabp5,Fdft1,Mapt,Car2,Mdk,Sord,Sult2b1,Amfr,Arl3,Emp2,Chst8,Sgk1,Ass1,Zfp36,Olfm1,Pkp3,Rab31,Tst,Sema3b,Etfb,Siah2
HALLMARK_G2M_CHECKPOINT	0.000151438798887566	0.000688358176761665	0.518848077743792	-0.476484312960601	-1.67855097552934	147	Hnrnpu,Prpf4b,Srsf1,Cul3,Kif5b,Stag1,Srsf10,Pds5b,Mtf2,Atrx,Ewsr1,Hif1a,Xpo1,Srsf2,Top1,Cdc27,Pura,Smc4,Smc2,Brca2,Cul5,Cdk4,Rbl1,Lig3,Sfpq,Pafah1b1
HALLMARK_UV_RESPONSE_UP	0.000424027400936505	0.00163087461898656	0.49849310876659	0.419875636244714	1.63729121618861	138	Junb,Rhob,Fos,Cnp,Igfbp2,Tmbim6,Ccnd3,Dnajb1,Nr4a1,Dlg4,Btg2,Fkbp4,Cltb,Klhdc3,Fosb,Nptxr,Il6st,Mapk8ip2,Aldoa,Grpel1,Eno2,Ephx1,Hspa2,Wiz,Spr,Stip1,Car2,Grina,Bak1,Prkaca,Lhx2,Slc25a4,Olfm1,Ccne1,Tst,Sqstm1,Sigmar1,Nptx2,Stard3,Selenow,Mrpl23,Sod2,H2ax,Cck,Nfkbia,Rxrb,Mark2
HALLMARK_E2F_TARGETS	0.00101377206021861	0.00316803768818315	0.45505986738723	-0.460465757681324	-1.62671037421503	151	Tfrc,Srsf1,Stag1,Pds5b,Psip1,Eif2s1,Pnn,Dek,Smc6,Luc7l3,Xpo1,Srsf2,Anp32e,Smc4,Ipo7,Brca2,Donson,Nup153,Smc3,Cdk4,Wdr90,Pan2,Nbn,Kif22,Prkdc,Atad2,Rbbp7,Orc2,Ccp110,Gspt1,Smc1a,Nap1l1,Rfc1,Nasp,Mlh1,Zw10,Orc6,Spag5,Eed,Tra2b,Mad2l1,Hmgb3,Ncapd2,Nudt21,Prps1,Asf1a,Brms1l,Shmt1,Rad51c,Cdc25b
HALLMARK_MYOGENESIS	0.000639596965924485	0.00228427487830173	0.477270815362862	0.39892399632318	1.57898258116574	147	Cryab,Mras,Prnp,Bhlhe40,Sirt2,Gsn,Fdps,Ocel1,Camk2b,Ckb,Adcy9,Cdh13,Hspb8,Sh2b1,App,Kcnh1,Myh9,Myl6b,Pcx,Gaa,Pfkm,Itgb4,Aebp1,Ak1,Atp6ap1,Ache,Lpin1,Pvalb,Sod3,Nos1,Ppp1r3c,Gnao1,Itgb5,Bin1,Fxyd1,Akt2,Sspn
HALLMARK_ADIPOGENESIS	0.000948866254910212	0.00316288751636737	0.477270815362862	0.382272312891654	1.55704793814012	185	Pim3,Fzd4,Aldh2,Adipor2,Ppp1r15b,Dhcr7,Ywhag,Mgll,Agpat3,Cox6a1,Apoe,Qdpr,Acly,Mgst3,Hspb8,Taldo1,Bcl6,Cd151,Aldoa,Adcy6,Bckdha,Grpel1,Phldb1,Cs,Gpx4,Tkt,Coq5,Aco2,Ubc,Cavin1,Echs1,Gpat4,Stom,Uqcrq,Gadd45a,Esrra,Jagn1,Slc25a1,Sod1,Tst,Vegfb,Uqcrc1,Chchd10,Etfb,Sdhc,Dhrs7b,Mdh2,Ucp2,Por
HALLMARK_ANDROGEN_RESPONSE	0.00459220913830694	0.0135064974656087	0.407017918923954	0.426168279503267	1.55579007558777	85	Ndrg1,Arid5b,Ccnd3,Dhcr24,Hmgcr,Pmepa1,Insig1,Adamts1,Elovl5,Fkbp5,Ccnd1,Sec24d,Gpd1l,Akap12,Srf,Sord,H1f0,Sgk1,Akt1,Fads1,Camkk2,Maf,Ube2i,Dbi,Ell2,Elk4,Arxes2,Tmem50a,B4galt1
HALLMARK_APICAL_SURFACE	0.0202184160899892	0.0470276268092578	0.352487857583619	0.525027546448252	1.54930980440054	31	Adipor2,Cx3cl1,Flot2,Hspb1,App,Thy1,Tmem8b,Rtn4rl1,Brca1,Mal,Mdga1
HALLMARK_MITOTIC_SPINDLE	0.0120946857469268	0.0306930343534016	0.380730400722792	-0.39925946937241	-1.43651198994905	176	Rasa1,Cd2ap,Pcm1,Rasa2,Kif5b,Cep57,Tubgcp5,Flna,Ccdc88a,Ppp4r2,Arhgap5,Rictor,Cntrl,Alms1,Cdc27,Flnb,Myo9b,Ckap5,Smc4,Arfgef1,Tubgcp3,Brca2,Rock1,Pkd2,Smc3,Dock4,Cdc42bpa,Arhgap4,Pafah1b1,Hook3,Lrpprc,Kif22,Ophn1,Rapgef6,Epb41,Fgd4,Katnb1,Nin,Smc1a,Sass6,Cdc42,Uxt,Rfc1,Nck1,Anln,Lats1,Dlg1,Tubgcp6
HALLMARK_PROTEIN_SECRETION	0.024374795997984	0.0529886869521391	0.352487857583619	-0.427199156241871	-1.41034459029619	91	Dop1a,Dnm1l,Anp32e,Snx2,Arfgef1,Rps6ka3,Abca1,Stam,Bet1,Vps4b,Cltc,Vamp4,Golga4,Tmx1,Ocrl,Ica1,Snap23,Lamp2,Zw10,Rab5a,Pam,Cav2,Cog2,Mon2,Ctsc,Rab2a,Arcn1,Copb1,Ap3s1,Sgms1,Adam10
