"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","TNF signaling pathway","KEGG:04668","false","2.292686831940039e-29","28.63965526338992","107","812","48","14151","ENSG00000003402,ENSG00000006210,ENSG00000007908,ENSG00000023445,ENSG00000026103,ENSG00000034152,ENSG00000055208,ENSG00000056558,ENSG00000069399,ENSG00000073756,ENSG00000078401,ENSG00000081041,ENSG00000083799,ENSG00000090339,ENSG00000100906,ENSG00000101384,ENSG00000101966,ENSG00000107968,ENSG00000108691,ENSG00000109320,ENSG00000110330,ENSG00000115009,ENSG00000117461,ENSG00000118503,ENSG00000121879,ENSG00000124875,ENSG00000125347,ENSG00000125538,ENSG00000128342,ENSG00000136244,ENSG00000145675,ENSG00000146592,ENSG00000150630,ENSG00000162692,ENSG00000163734,ENSG00000163735,ENSG00000163739,ENSG00000164305,ENSG00000164400,ENSG00000167207,ENSG00000169245,ENSG00000171223,ENSG00000172216,ENSG00000173039,ENSG00000177606,ENSG00000184371,ENSG00000184557,ENSG00000197442"
"KEGG","Cytokine-cytokine receptor interaction","KEGG:04060","false","5.814958884142033e-20","19.235453351692776","142","812","45","14151","ENSG00000006210,ENSG00000008517,ENSG00000026103,ENSG00000027697,ENSG00000049249,ENSG00000081041,ENSG00000092969,ENSG00000104432,ENSG00000105246,ENSG00000108342,ENSG00000108688,ENSG00000108691,ENSG00000115008,ENSG00000115009,ENSG00000115594,ENSG00000115602,ENSG00000120337,ENSG00000120889,ENSG00000121858,ENSG00000122641,ENSG00000124875,ENSG00000125538,ENSG00000125845,ENSG00000128342,ENSG00000130513,ENSG00000134352,ENSG00000136244,ENSG00000142166,ENSG00000145623,ENSG00000145777,ENSG00000146072,ENSG00000159110,ENSG00000159128,ENSG00000163513,ENSG00000163734,ENSG00000163735,ENSG00000163739,ENSG00000164400,ENSG00000168685,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000181634,ENSG00000184371,ENSG00000196083"
"KEGG","Pathways in cancer","KEGG:05200","false","2.8867217229197416e-15","14.539595079654202","419","812","72","14151","ENSG00000023445,ENSG00000026103,ENSG00000027697,ENSG00000056558,ENSG00000065135,ENSG00000073756,ENSG00000074047,ENSG00000075651,ENSG00000077150,ENSG00000078401,ENSG00000092969,ENSG00000096968,ENSG00000097007,ENSG00000100644,ENSG00000100906,ENSG00000101384,ENSG00000101966,ENSG00000104432,ENSG00000105327,ENSG00000109320,ENSG00000110330,ENSG00000115415,ENSG00000115904,ENSG00000116016,ENSG00000116044,ENSG00000117461,ENSG00000120063,ENSG00000121879,ENSG00000125845,ENSG00000126561,ENSG00000127955,ENSG00000134352,ENSG00000134954,ENSG00000135679,ENSG00000135766,ENSG00000136244,ENSG00000136997,ENSG00000138448,ENSG00000138675,ENSG00000138685,ENSG00000139687,ENSG00000140464,ENSG00000141510,ENSG00000141682,ENSG00000142166,ENSG00000145675,ENSG00000146648,ENSG00000150630,ENSG00000159110,ENSG00000159128,ENSG00000160271,ENSG00000162434,ENSG00000163235,ENSG00000163513,ENSG00000164171,ENSG00000164305,ENSG00000164683,ENSG00000164930,ENSG00000166949,ENSG00000167034,ENSG00000168685,ENSG00000169429,ENSG00000171522,ENSG00000172380,ENSG00000173039,ENSG00000177606,ENSG00000185920,ENSG00000186469,ENSG00000187498,ENSG00000196878,ENSG00000198121,ENSG00000213281"
"KEGG","KEGG root term","KEGG:00000","false","1.3635232384576117e-14","13.86533745600038","5936","812","454","14151","ENSG00000003402,ENSG00000003436,ENSG00000006210,ENSG00000007908,ENSG00000008517,ENSG00000008838,ENSG00000011566,ENSG00000013297,ENSG00000013441,ENSG00000019549,ENSG00000020633,ENSG00000023445,ENSG00000023839,ENSG00000026103,ENSG00000026508,ENSG00000027697,ENSG00000028277,ENSG00000034152,ENSG00000041982,ENSG00000048052,ENSG00000049249,ENSG00000049759,ENSG00000054523,ENSG00000055208,ENSG00000056558,ENSG00000056972,ENSG00000060982,ENSG00000062716,ENSG00000063601,ENSG00000065135,ENSG00000065534,ENSG00000065911,ENSG00000068366,ENSG00000069399,ENSG00000069869,ENSG00000070756,ENSG00000070770,ENSG00000070961,ENSG00000071054,ENSG00000072274,ENSG00000073756,ENSG00000074047,ENSG00000074410,ENSG00000075223,ENSG00000075426,ENSG00000075651,ENSG00000077150,ENSG00000077514,ENSG00000078081,ENSG00000078124,ENSG00000078142,ENSG00000078304,ENSG00000078401,ENSG00000079215,ENSG00000080802,ENSG00000080815,ENSG00000081041,ENSG00000083799,ENSG00000086061,ENSG00000086062,ENSG00000086065,ENSG00000086200,ENSG00000088826,ENSG00000088930,ENSG00000089234,ENSG00000090339,ENSG00000090376,ENSG00000091436,ENSG00000092969,ENSG00000096968,ENSG00000097007,ENSG00000099810,ENSG00000099937,ENSG00000100219,ENSG00000100234,ENSG00000100603,ENSG00000100625,ENSG00000100644,ENSG00000100906,ENSG00000101347,ENSG00000101384,ENSG00000101638,ENSG00000101670,ENSG00000101966,ENSG00000102172,ENSG00000102265,ENSG00000102794,ENSG00000103342,ENSG00000104067,ENSG00000104312,ENSG00000104320,ENSG00000104321,ENSG00000104432,ENSG00000104472,ENSG00000104635,ENSG00000104856,ENSG00000105246,ENSG00000105327,ENSG00000105835,ENSG00000105855,ENSG00000105971,ENSG00000105974,ENSG00000106049,ENSG00000106366,ENSG00000106546,ENSG00000106829,ENSG00000107201,ENSG00000107815,ENSG00000107968,ENSG00000107984,ENSG00000108342,ENSG00000108395,ENSG00000108510,ENSG00000108551,ENSG00000108559,ENSG00000108688,ENSG00000108691,ENSG00000109320,ENSG00000109321,ENSG00000109332,ENSG00000109606,ENSG00000109787,ENSG00000109861,ENSG00000110047,ENSG00000110218,ENSG00000110330,ENSG00000110911,ENSG00000111252,ENSG00000111266,ENSG00000111335,ENSG00000111450,ENSG00000111581,ENSG00000111817,ENSG00000111912,ENSG00000113070,ENSG00000113448,ENSG00000113456,ENSG00000113504,ENSG00000113580,ENSG00000113649,ENSG00000113916,ENSG00000114127,ENSG00000114861,ENSG00000115008,ENSG00000115009,ENSG00000115091,ENSG00000115267,ENSG00000115364,ENSG00000115368,ENSG00000115415,ENSG00000115594,ENSG00000115602,ENSG00000115652,ENSG00000115825,ENSG00000115904,ENSG00000115919,ENSG00000116016,ENSG00000116044,ENSG00000116747,ENSG00000117143,ENSG00000117226,ENSG00000117228,ENSG00000117461,ENSG00000117479,ENSG00000117525,ENSG00000117594,ENSG00000118503,ENSG00000118515,ENSG00000118523,ENSG00000118985,ENSG00000119953,ENSG00000120063,ENSG00000120137,ENSG00000120158,ENSG00000120217,ENSG00000120337,ENSG00000120705,ENSG00000120889,ENSG00000120992,ENSG00000121060,ENSG00000121858,ENSG00000121879,ENSG00000122641,ENSG00000122643,ENSG00000122729,ENSG00000122786,ENSG00000122861,ENSG00000123095,ENSG00000123240,ENSG00000123700,ENSG00000124145,ENSG00000124789,ENSG00000124875,ENSG00000124882,ENSG00000125148,ENSG00000125347,ENSG00000125538,ENSG00000125730,ENSG00000125845,ENSG00000126561,ENSG00000126749,ENSG00000126778,ENSG00000127314,ENSG00000127955,ENSG00000128016,ENSG00000128271,ENSG00000128274,ENSG00000128342,ENSG00000128641,ENSG00000129128,ENSG00000130066,ENSG00000130164,ENSG00000130513,ENSG00000130522,ENSG00000131459,ENSG00000131844,ENSG00000131873,ENSG00000131979,ENSG00000132109,ENSG00000133119,ENSG00000133639,ENSG00000133706,ENSG00000133805,ENSG00000133961,ENSG00000134070,ENSG00000134107,ENSG00000134294,ENSG00000134321,ENSG00000134326,ENSG00000134352,ENSG00000134954,ENSG00000134987,ENSG00000135090,ENSG00000135114,ENSG00000135604,ENSG00000135679,ENSG00000135766,ENSG00000135917,ENSG00000135919,ENSG00000135945,ENSG00000136100,ENSG00000136111,ENSG00000136244,ENSG00000136826,ENSG00000136997,ENSG00000137462,ENSG00000137507,ENSG00000137752,ENSG00000137767,ENSG00000138035,ENSG00000138166,ENSG00000138448,ENSG00000138675,ENSG00000138685,ENSG00000138756,ENSG00000139318,ENSG00000139372,ENSG00000139496,ENSG00000139687,ENSG00000139926,ENSG00000140105,ENSG00000140379,ENSG00000140464,ENSG00000141384,ENSG00000141510,ENSG00000141682,ENSG00000142166,ENSG00000142627,ENSG00000143384,ENSG00000143398,ENSG00000143514,ENSG00000144802,ENSG00000144810,ENSG00000144959,ENSG00000145216,ENSG00000145365,ENSG00000145495,ENSG00000145623,ENSG00000145632,ENSG00000145675,ENSG00000145777,ENSG00000145901,ENSG00000145907,ENSG00000146072,ENSG00000146232,ENSG00000146592,ENSG00000146648,ENSG00000147853,ENSG00000147872,ENSG00000147905,ENSG00000148154,ENSG00000148344,ENSG00000148498,ENSG00000148926,ENSG00000149948,ENSG00000150630,ENSG00000151012,ENSG00000151748,ENSG00000152455,ENSG00000152518,ENSG00000152952,ENSG00000153071,ENSG00000153187,ENSG00000153234,ENSG00000153944,ENSG00000153989,ENSG00000154001,ENSG00000154174,ENSG00000154451,ENSG00000154640,ENSG00000155975,ENSG00000156011,ENSG00000157214,ENSG00000157224,ENSG00000157557,ENSG00000158470,ENSG00000159110,ENSG00000159128,ENSG00000159200,ENSG00000159261,ENSG00000160223,ENSG00000160271,ENSG00000160710,ENSG00000162407,ENSG00000162434,ENSG00000162645,ENSG00000162654,ENSG00000162692,ENSG00000162924,ENSG00000163082,ENSG00000163131,ENSG00000163235,ENSG00000163347,ENSG00000163513,ENSG00000163565,ENSG00000163634,ENSG00000163655,ENSG00000163734,ENSG00000163735,ENSG00000163739,ENSG00000163743,ENSG00000163840,ENSG00000163904,ENSG00000164171,ENSG00000164181,ENSG00000164305,ENSG00000164338,ENSG00000164400,ENSG00000164430,ENSG00000164647,ENSG00000164683,ENSG00000164736,ENSG00000164930,ENSG00000165029,ENSG00000165030,ENSG00000165195,ENSG00000165434,ENSG00000165637,ENSG00000166321,ENSG00000166741,ENSG00000166889,ENSG00000166949,ENSG00000167034,ENSG00000167207,ENSG00000167996,ENSG00000168172,ENSG00000168685,ENSG00000169242,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000169764,ENSG00000170017,ENSG00000170142,ENSG00000170365,ENSG00000170525,ENSG00000170542,ENSG00000170606,ENSG00000170775,ENSG00000171150,ENSG00000171223,ENSG00000171365,ENSG00000171522,ENSG00000171860,ENSG00000172071,ENSG00000172216,ENSG00000172380,ENSG00000173039,ENSG00000173281,ENSG00000173846,ENSG00000174059,ENSG00000174136,ENSG00000175354,ENSG00000175592,ENSG00000176597,ENSG00000177189,ENSG00000177426,ENSG00000177606,ENSG00000179630,ENSG00000180817,ENSG00000181634,ENSG00000182197,ENSG00000184371,ENSG00000184384,ENSG00000184557,ENSG00000184588,ENSG00000185338,ENSG00000185650,ENSG00000185745,ENSG00000185920,ENSG00000186469,ENSG00000187193,ENSG00000187498,ENSG00000188396,ENSG00000188641,ENSG00000189067,ENSG00000196083,ENSG00000196352,ENSG00000196396,ENSG00000196639,ENSG00000196776,ENSG00000196878,ENSG00000196954,ENSG00000197050,ENSG00000197249,ENSG00000197442,ENSG00000197646,ENSG00000197965,ENSG00000198121,ENSG00000198604,ENSG00000198727,ENSG00000198742,ENSG00000198786,ENSG00000198804,ENSG00000198833,ENSG00000198886,ENSG00000198888,ENSG00000198964,ENSG00000204103,ENSG00000205339,ENSG00000211445,ENSG00000213281,ENSG00000213694,ENSG00000213741,ENSG00000215301,ENSG00000231925,ENSG00000239282,ENSG00000243649,ENSG00000263528,ENSG00000265808,ENSG00000272886,ENSG00000274750,ENSG00000277443,ENSG00000291237"
"KEGG","IL-17 signaling pathway","KEGG:04657","false","2.6200698181531276e-14","13.581687135689934","69","812","27","14151","ENSG00000055208,ENSG00000056972,ENSG00000073756,ENSG00000081041,ENSG00000100906,ENSG00000108342,ENSG00000108688,ENSG00000108691,ENSG00000109320,ENSG00000115009,ENSG00000118503,ENSG00000124875,ENSG00000125538,ENSG00000130522,ENSG00000136244,ENSG00000163734,ENSG00000163735,ENSG00000163739,ENSG00000164305,ENSG00000164400,ENSG00000169245,ENSG00000169429,ENSG00000172216,ENSG00000173039,ENSG00000175592,ENSG00000177606,ENSG00000263528"
"KEGG","Influenza A","KEGG:05164","false","9.141146244426615e-13","12.038999342951392","124","812","34","14151","ENSG00000026103,ENSG00000027697,ENSG00000090339,ENSG00000096968,ENSG00000100906,ENSG00000107201,ENSG00000108691,ENSG00000109320,ENSG00000111335,ENSG00000115008,ENSG00000115267,ENSG00000115415,ENSG00000117461,ENSG00000120889,ENSG00000121060,ENSG00000121858,ENSG00000121879,ENSG00000125538,ENSG00000134321,ENSG00000136244,ENSG00000137752,ENSG00000140464,ENSG00000142166,ENSG00000145675,ENSG00000159110,ENSG00000159128,ENSG00000160710,ENSG00000162434,ENSG00000164305,ENSG00000169245,ENSG00000169429,ENSG00000173039,ENSG00000184557,ENSG00000263528"
"KEGG","Lipid and atherosclerosis","KEGG:05417","false","3.92515246938315e-12","11.40614346877206","168","812","39","14151","ENSG00000007908,ENSG00000026103,ENSG00000028277,ENSG00000034152,ENSG00000055208,ENSG00000081041,ENSG00000090339,ENSG00000096968,ENSG00000100219,ENSG00000100906,ENSG00000108691,ENSG00000109320,ENSG00000116044,ENSG00000117461,ENSG00000120889,ENSG00000121858,ENSG00000121879,ENSG00000125538,ENSG00000127314,ENSG00000130164,ENSG00000136244,ENSG00000137462,ENSG00000137752,ENSG00000141510,ENSG00000145675,ENSG00000162692,ENSG00000163734,ENSG00000163739,ENSG00000164305,ENSG00000165029,ENSG00000169429,ENSG00000170606,ENSG00000172071,ENSG00000173039,ENSG00000177606,ENSG00000197442,ENSG00000213281,ENSG00000263528,ENSG00000291237"
"KEGG","NF-kappa B signaling pathway","KEGG:04064","false","3.937414045900449e-12","11.40478891378611","82","812","27","14151","ENSG00000003402,ENSG00000023445,ENSG00000055208,ENSG00000056558,ENSG00000070770,ENSG00000073756,ENSG00000077150,ENSG00000081041,ENSG00000083799,ENSG00000090339,ENSG00000100906,ENSG00000101966,ENSG00000104856,ENSG00000107201,ENSG00000109320,ENSG00000110330,ENSG00000115594,ENSG00000118503,ENSG00000121060,ENSG00000122861,ENSG00000125538,ENSG00000140379,ENSG00000162692,ENSG00000163734,ENSG00000163739,ENSG00000169429,ENSG00000173039"
"KEGG","Kaposi sarcoma-associated herpesvirus infection","KEGG:05167","false","1.3456567935109073e-11","10.871065691739465","158","812","37","14151","ENSG00000026103,ENSG00000027697,ENSG00000073756,ENSG00000078142,ENSG00000081041,ENSG00000090339,ENSG00000096968,ENSG00000100644,ENSG00000100906,ENSG00000109320,ENSG00000115415,ENSG00000117461,ENSG00000121879,ENSG00000125730,ENSG00000128016,ENSG00000134352,ENSG00000136244,ENSG00000136997,ENSG00000138685,ENSG00000139687,ENSG00000141510,ENSG00000142166,ENSG00000145675,ENSG00000159110,ENSG00000159200,ENSG00000162434,ENSG00000163734,ENSG00000163739,ENSG00000164305,ENSG00000164400,ENSG00000169429,ENSG00000172380,ENSG00000173039,ENSG00000177606,ENSG00000186469,ENSG00000213281,ENSG00000263528"
"KEGG","Measles","KEGG:05162","false","1.4102857633785535e-11","10.850692878207056","106","812","30","14151","ENSG00000026103,ENSG00000055208,ENSG00000070770,ENSG00000100906,ENSG00000105327,ENSG00000107201,ENSG00000109320,ENSG00000111335,ENSG00000115008,ENSG00000115267,ENSG00000115415,ENSG00000117461,ENSG00000118503,ENSG00000121879,ENSG00000125538,ENSG00000126561,ENSG00000136244,ENSG00000137462,ENSG00000141510,ENSG00000142166,ENSG00000145675,ENSG00000159110,ENSG00000160710,ENSG00000162434,ENSG00000163743,ENSG00000164305,ENSG00000172071,ENSG00000173039,ENSG00000177606,ENSG00000263528"
