"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","HIF-1 signaling pathway","KEGG:04066","false","0.004396934129041768","2.356850040545398","90","1513","23","14549","ENSG00000067057,ENSG00000078401,ENSG00000100644,ENSG00000102265,ENSG00000106366,ENSG00000108515,ENSG00000109320,ENSG00000111321,ENSG00000124762,ENSG00000126934,ENSG00000134086,ENSG00000135766,ENSG00000136244,ENSG00000140443,ENSG00000141959,ENSG00000146648,ENSG00000149925,ENSG00000159128,ENSG00000168610,ENSG00000170525,ENSG00000171608,ENSG00000173039,ENSG00000269858"
"KEGG","Tuberculosis","KEGG:05152","false","0.004493902844457497","2.3473763210072542","127","1513","29","14549","ENSG00000015475,ENSG00000067182,ENSG00000092969,ENSG00000102871,ENSG00000104312,ENSG00000105329,ENSG00000109320,ENSG00000111012,ENSG00000115008,ENSG00000117410,ENSG00000117984,ENSG00000125538,ENSG00000125730,ENSG00000134070,ENSG00000136244,ENSG00000137462,ENSG00000141068,ENSG00000159128,ENSG00000162434,ENSG00000167207,ENSG00000168811,ENSG00000172216,ENSG00000172936,ENSG00000173039,ENSG00000173846,ENSG00000176170,ENSG00000184216,ENSG00000185883,ENSG00000197122"
"KEGG","FoxO signaling pathway","KEGG:04068","false","0.00492582895928694","2.3075206723441557","115","1513","27","14549","ENSG00000092969,ENSG00000099860,ENSG00000105329,ENSG00000110092,ENSG00000113916,ENSG00000118046,ENSG00000118515,ENSG00000121858,ENSG00000123374,ENSG00000124762,ENSG00000126457,ENSG00000126934,ENSG00000136244,ENSG00000140443,ENSG00000145632,ENSG00000146648,ENSG00000147883,ENSG00000163513,ENSG00000166949,ENSG00000168610,ENSG00000168685,ENSG00000169047,ENSG00000170989,ENSG00000171608,ENSG00000173846,ENSG00000213923,ENSG00000291237"
"KEGG","Acute myeloid leukemia","KEGG:05221","false","0.005588659530914113","2.252692347415622","57","1513","17","14549","ENSG00000102096,ENSG00000109320,ENSG00000110092,ENSG00000112033,ENSG00000126561,ENSG00000126934,ENSG00000133101,ENSG00000136997,ENSG00000137193,ENSG00000139318,ENSG00000140379,ENSG00000140464,ENSG00000159216,ENSG00000164400,ENSG00000168610,ENSG00000171608,ENSG00000173039"
"KEGG","Chronic myeloid leukemia","KEGG:05220","false","0.007332366879263457","2.134755812987862","75","1513","20","14549","ENSG00000092969,ENSG00000097007,ENSG00000099860,ENSG00000100906,ENSG00000105329,ENSG00000109320,ENSG00000110092,ENSG00000124762,ENSG00000126561,ENSG00000126934,ENSG00000136997,ENSG00000141510,ENSG00000147889,ENSG00000159216,ENSG00000159692,ENSG00000163513,ENSG00000166949,ENSG00000171608,ENSG00000173039,ENSG00000186716"
"KEGG","C-type lectin receptor signaling pathway","KEGG:04625","false","0.0076892626278945424","2.114115305450946","87","1513","22","14549","ENSG00000069399,ENSG00000073756,ENSG00000077150,ENSG00000083799,ENSG00000096433,ENSG00000100906,ENSG00000104856,ENSG00000109320,ENSG00000125347,ENSG00000125538,ENSG00000131196,ENSG00000136244,ENSG00000141068,ENSG00000162711,ENSG00000163932,ENSG00000168811,ENSG00000171608,ENSG00000173039,ENSG00000173846,ENSG00000177606,ENSG00000197122,ENSG00000263528"
"KEGG","Type I diabetes mellitus","KEGG:04940","false","0.010426564939355528","1.9818587475273832","16","1513","8","14549","ENSG00000115008,ENSG00000125538,ENSG00000168811,ENSG00000204525,ENSG00000204592,ENSG00000204642,ENSG00000206503,ENSG00000234745"
"KEGG","Fluid shear stress and atherosclerosis","KEGG:05418","false","0.010817740556694933","1.9658634385111566","120","1513","27","14549","ENSG00000007908,ENSG00000051523,ENSG00000067182,ENSG00000078401,ENSG00000090339,ENSG00000100311,ENSG00000105971,ENSG00000105974,ENSG00000108691,ENSG00000109320,ENSG00000115008,ENSG00000115594,ENSG00000116044,ENSG00000116584,ENSG00000120129,ENSG00000124145,ENSG00000125538,ENSG00000141510,ENSG00000161011,ENSG00000162692,ENSG00000171608,ENSG00000173039,ENSG00000177606,ENSG00000184009,ENSG00000197122,ENSG00000197442,ENSG00000259207"
"KEGG","Hematopoietic cell lineage","KEGG:04640","false","0.012008001423504317","1.9205292692807725","44","1513","14","14549","ENSG00000026508,ENSG00000077238,ENSG00000104432,ENSG00000108342,ENSG00000115008,ENSG00000115594,ENSG00000125538,ENSG00000136244,ENSG00000161638,ENSG00000164400,ENSG00000168685,ENSG00000174059,ENSG00000184371,ENSG00000259207"
"KEGG","Th1 and Th2 cell differentiation","KEGG:04658","false","0.014360691235292523","1.842824655327128","61","1513","17","14549","ENSG00000020633,ENSG00000077238,ENSG00000100906,ENSG00000101384,ENSG00000104825,ENSG00000105639,ENSG00000109320,ENSG00000126561,ENSG00000131196,ENSG00000134250,ENSG00000146232,ENSG00000159128,ENSG00000162434,ENSG00000166888,ENSG00000168811,ENSG00000173039,ENSG00000177606"
"KEGG","Yersinia infection","KEGG:05135","false","0.01803696102924753","1.743836633058304","117","1513","26","14549","ENSG00000034152,ENSG00000050820,ENSG00000055208,ENSG00000100906,ENSG00000103313,ENSG00000108691,ENSG00000109320,ENSG00000123143,ENSG00000125538,ENSG00000126934,ENSG00000127191,ENSG00000127666,ENSG00000131196,ENSG00000136244,ENSG00000160293,ENSG00000161638,ENSG00000162711,ENSG00000169429,ENSG00000171608,ENSG00000172936,ENSG00000173039,ENSG00000177105,ENSG00000177606,ENSG00000184009,ENSG00000184216,ENSG00000197122"
"KEGG","Shigellosis","KEGG:05131","false","0.021766765176352502","1.6622061079568629","221","1513","41","14549","ENSG00000026508,ENSG00000050820,ENSG00000055208,ENSG00000067182,ENSG00000072110,ENSG00000096433,ENSG00000100906,ENSG00000102871,ENSG00000104312,ENSG00000104825,ENSG00000109320,ENSG00000115594,ENSG00000116584,ENSG00000125538,ENSG00000125730,ENSG00000125826,ENSG00000127191,ENSG00000131504,ENSG00000141510,ENSG00000143761,ENSG00000145365,ENSG00000145901,ENSG00000146648,ENSG00000161011,ENSG00000161638,ENSG00000162711,ENSG00000163932,ENSG00000164400,ENSG00000164430,ENSG00000166333,ENSG00000169429,ENSG00000171608,ENSG00000172936,ENSG00000173039,ENSG00000177606,ENSG00000184009,ENSG00000184640,ENSG00000196954,ENSG00000197122,ENSG00000204673,ENSG00000271503"
"KEGG","Focal adhesion","KEGG:04510","false","0.024813856823600842","1.6053057279878404","173","1513","34","14549","ENSG00000023445,ENSG00000041982,ENSG00000050820,ENSG00000058085,ENSG00000072110,ENSG00000100311,ENSG00000105971,ENSG00000105974,ENSG00000110092,ENSG00000110330,ENSG00000112576,ENSG00000126767,ENSG00000130669,ENSG00000130702,ENSG00000131504,ENSG00000134871,ENSG00000140443,ENSG00000142156,ENSG00000142173,ENSG00000146648,ENSG00000150630,ENSG00000159840,ENSG00000160293,ENSG00000161638,ENSG00000166333,ENSG00000171608,ENSG00000177606,ENSG00000184009,ENSG00000187498,ENSG00000188153,ENSG00000196878,ENSG00000196924,ENSG00000197122,ENSG00000259207"
"KEGG","Viral myocarditis","KEGG:05416","false","0.0376971766581622","1.4236911751972954","43","1513","13","14549","ENSG00000015475,ENSG00000090339,ENSG00000097007,ENSG00000105974,ENSG00000110092,ENSG00000123096,ENSG00000143322,ENSG00000184009,ENSG00000204525,ENSG00000204592,ENSG00000204642,ENSG00000206503,ENSG00000234745"
