Gene	S_1	S_2	S_3	S_4	TMAO_1	TMAO_2	TMAO_4
Gabra2	0.0070580677524581	0.797157085714483	1.14045987586694	0.868626310161375	-1.60523345899194	-0.566338387538073	-0.641729492965177
Gabrg1	0.289989527938219	0.992924053197768	1.26403763313938	0.325165399364853	-1.47304783547401	-0.50215458424445	-0.896914193921793
Gabrb2	0.369822745487089	0.516949622611389	1.07596206551133	0.886827251485967	-1.68673169636305	-0.325791562986217	-0.837038425746402
Gabra1	0.30601394968752	0.817699765083664	0.647344738200125	0.955252717909261	-1.69267691524276	-0.0134263427321737	-1.02020791290572
Gabra6	0.536579935370959	-0.0111701940605287	0.619083574978895	1.34010529142388	-0.431411029105855	-0.239540601042847	-1.81364697756451
Gabrg2	-0.00731684993219296	0.706622608707442	0.827389550798601	1.31138898456368	-1.36515631056663	-0.464520762147463	-1.00840722142343
Gabrb1	-0.306357097149386	0.401999687928632	1.25807857536114	0.930479038483469	-1.49442198477615	0.217816671930958	-1.00759489177858
Gabrb3	0.0197404069119868	0.396527848615603	0.978815832137979	1.34619484719987	-1.50890141725863	-0.482221744619046	-0.750155772988003
