ID	geneSymbol	splicing_event_type	IncLevelDifference	FDR	sig	neglog10fdr	label
38109	Tmem212	A3SS	0.407	0.65715816768327	n.s.	0.182330089976095	NA
38978	Rusc1	A3SS	0.34	0.0304786416875586	n.s.	1.51600439168751	NA
39229	Sltm	A3SS	0.573	0.901502507273229	n.s.	0.0450330610731226	NA
39270	Xpo1	A3SS	-0.516	0.788089462157877	n.s.	0.103424479571138	NA
39271	Xpo1	A3SS	-0.497	0.901502507273229	n.s.	0.0450330610731226	NA
39612	Pld2	A3SS	-0.592	0.186159724055194	n.s.	0.730114273476136	NA
41050	Arnt2	A3SS	-0.167	0.584454804312443	n.s.	0.233249067045536	NA
41226	Atg16l2	A3SS	-0.683	0.000229073741213272	Up in TMAO	3.64002469125485	NA
41227	Atg16l2	A3SS	-0.595	0.16126117181316	n.s.	0.792470188700499	NA
41954	Tgfb1i1	A3SS	0.667	0.582251762675913	n.s.	0.234889188032846	NA
42743	Hook3	A3SS	-0.5	0.3395065177776	n.s.	0.469151883805646	NA
43135	Mon2	A3SS	-0.637	0.0757163552284534	n.s.	1.12081029991516	NA
43251	Mast3	A3SS	0.504	0.542766919271629	n.s.	0.265386629721946	NA
43310	Slc27a1	A3SS	0.363	0.679913960325242	n.s.	0.167546041588097	NA
44486	Cdk10	A3SS	-0.33	0.745064756546112	n.s.	0.127805979347749	NA
46085	Gcc2	A3SS	-0.667	0.258359867236722	n.s.	0.587774947299555	NA
46865	Zdhhc3	A3SS	-0.386	0.708208622332874	n.s.	0.149838790076082	NA
48484	Sparcl1	A3SS	0.295	0.02414329959863	n.s.	1.61720337634509	NA
51457	Acsl6	A3SS	0.417	0.3395065177776	n.s.	0.469151883805646	NA
52436	Mtarc2	A3SS	0.428	0.901502507273229	n.s.	0.0450330610731226	NA
398	Sil1	MXE	-0.363	0.583136677990883	n.s.	0.234229641569718	NA
499	Crem	MXE	0.634	0.0334134320705485	n.s.	1.47607891338468	NA
500	Crem	MXE	0.407	0.496829213250632	n.s.	0.303792875833605	NA
3529	Sox2ot	MXE	-0.735	0.000263169396742451	n.s.	3.57976461505287	NA
3757	Gsto2	MXE	0.482	0.420015924173957	n.s.	0.376734243769298	NA
3844	Phyhd1	MXE	0.301	0.557473089196148	n.s.	0.253776092397648	NA
4805	4732471J01Rik	MXE	-0.353	0.496829213250632	n.s.	0.303792875833605	NA
5302	A230057D06Rik	MXE	0.582	0.0902942343465904	n.s.	1.04433998026682	NA
5386	Ppp4r1l-ps	MXE	-0.657	0.0151423970721075	n.s.	1.81980536969819	NA
5503	Gm20488	MXE	-0.446	0.185788541801274	n.s.	0.730981073904952	NA
5767	Pbrm1	MXE	0.36	0.0963733107468247	n.s.	1.01604322128612	NA
6105	1500015L24Rik	MXE	-0.422	0.226137970159324	n.s.	0.64562651042695	NA
6374	ENSMUSG00000138831	MXE	0.295	0.118883326794898	n.s.	0.924879050248618	NA
7558	Slc38a6	MXE	-0.354	0.671245699077983	n.s.	0.1731184839705	NA
7795	C030037D09Rik	MXE	-0.471	0.809338759506636	n.s.	0.0918696605999389	NA
8243	Gm30439	MXE	-0.264	0.557473089196148	n.s.	0.253776092397648	NA
8538	Plagl1	MXE	-0.482	0.782241056196965	n.s.	0.106659393687056	NA
8823	Pvt1	MXE	-0.49	0.557473089196148	n.s.	0.253776092397648	NA
9824	Sec11c	MXE	0.54	0.175736305690753	n.s.	0.755138507529523	NA
10156	Ptpn5	MXE	0.642	0.552026896041654	n.s.	0.258039761912264	NA
10157	Ptpn5	MXE	0.644	0.557473089196148	n.s.	0.253776092397648	NA
10175	Dync1i2	MXE	0.299	0.869724341719734	n.s.	0.0606183747837709	NA
10517	Lrfn5	MXE	0.396	0.298316338838545	n.s.	0.525322959601073	NA
10871	Lnx1	MXE	0.24	0.823985520331335	n.s.	0.0840804199721234	NA
10873	Lnx1	MXE	0.307	0.827665327822674	n.s.	0.0821452376858735	NA
11366	0610043K17Rik	MXE	-0.463	0.557473089196148	n.s.	0.253776092397648	NA
11367	0610043K17Rik	MXE	-0.633	0.298316338838545	n.s.	0.525322959601073	NA
11368	0610043K17Rik	MXE	-0.63	0.0270401036961387	n.s.	1.56799164725058	NA
11494	Atp11c	MXE	0.472	0.0999533704927044	n.s.	1.00020255660637	NA
11853	Ahcyl1	MXE	0.417	0.0072447776312915	n.s.	2.13997494007343	NA
11931	Ly6e	MXE	-0.457	0.869724341719734	n.s.	0.0606183747837709	NA
11955	Syt1	MXE	-0.587	0.86225877512108	n.s.	0.0643623771666942	NA
12008	B230216N24Rik	MXE	-0.918	1.65967239951939e-12	n.s.	11.7799776282984	NA
12527	Lrrn2	MXE	-0.5	0.0902942343465904	n.s.	1.04433998026682	NA
12531	Lrrn2	MXE	-0.667	0.107808867135929	n.s.	0.967345517536738	NA
12718	Timm9	MXE	0.4	0.70101569225464	n.s.	0.154272260231172	NA
12720	Timm9	MXE	0.341	0.417053578427547	n.s.	0.379808148094087	NA
12914	Slc35f3	MXE	0.667	0.396656272540517	n.s.	0.40158567358959	NA
13213	Adgrl3	MXE	0.711	0.00937733390358376	n.s.	2.02792061956816	NA
13335	Nr4a1	MXE	-0.431	0.420015924173957	n.s.	0.376734243769298	NA
13390	Rbfox1	MXE	-0.284	0.473422380327462	n.s.	0.324751215306438	NA
14646	Laptm4a	MXE	-0.302	0.557473089196148	n.s.	0.253776092397648	NA
14649	Laptm4a	MXE	-0.363	0.299341915075731	n.s.	0.523832467217357	NA
14779	Aldoc	MXE	0.546	0.0409809491960836	n.s.	1.38741798673894	NA
14783	Aldoc	MXE	-0.458	0.557473089196148	n.s.	0.253776092397648	NA
14788	Aldoc	MXE	-0.75	0.000263169396742451	n.s.	3.57976461505287	NA
14923	Phkb	MXE	-0.286	0.557473089196148	n.s.	0.253776092397648	NA
14924	Phkb	MXE	-0.559	0.0999533704927044	n.s.	1.00020255660637	NA
15029	Tspan5	MXE	-0.365	0.329211533914755	n.s.	0.482524957701005	NA
15038	Mprip	MXE	-0.2	0.298316338838545	n.s.	0.525322959601073	NA
15298	Kirrel3	MXE	-0.677	0.151926208663393	n.s.	0.818367299895874	NA
15467	Sv2b	MXE	0.03	0.299341915075731	n.s.	0.523832467217357	NA
15805	Pnpla6	MXE	-0.324	0.496829213250632	n.s.	0.303792875833605	NA
16153	Glra2	MXE	-0.417	0.557473089196148	n.s.	0.253776092397648	NA
16155	Glra2	MXE	-0.388	0.175736305690753	n.s.	0.755138507529523	NA
16196	Pts	MXE	-0.324	0.67066496792135	n.s.	0.173494378370541	NA
17114	Abl1	MXE	0.667	0.298316338838545	n.s.	0.525322959601073	NA
17538	Slc25a19	MXE	-0.483	0.111619799901709	n.s.	0.952258760368557	NA
17569	Cyth1	MXE	0.268	0.699511321472364	n.s.	0.155205252132575	NA
17605	Rock2	MXE	-0.42	0.557473089196148	n.s.	0.253776092397648	NA
17647	Nrcam	MXE	0.462	0.0999533704927044	n.s.	1.00020255660637	NA
17648	Nrcam	MXE	0.46	0.0902942343465904	n.s.	1.04433998026682	NA
18390	Adgrb1	MXE	-0.46	0.558575194887813	n.s.	0.252918354282237	NA
1437	Uxt	SE	0.492	0.291304435155409	n.s.	0.535652903120848	NA
1614	Ccdc120	SE	0.259	0.991210987420157	n.s.	0.00383389251829527	NA
1874	Sfxn2	SE	-0.45	0.370543709700499	n.s.	0.431160554858557	NA
5852	Atp6v1g2	SE	0.415	0.00458992575978162	Up in Saline	2.33819433894595	NA
6111	Rrp1b	SE	-0.426	0.627020032393593	n.s.	0.202718583859842	NA
6867	Tbp	SE	0.488	0.304406752750659	n.s.	0.516545717703631	NA
7312	A930006K02Rik	SE	-0.75	0.000806219874429824	n.s.	3.09354650009414	NA
7967	Cfap44	SE	-0.497	0.291304435155409	n.s.	0.535652903120848	NA
9623	1810021B22Rik	SE	-0.633	0.30269074094539	n.s.	0.519000863542356	NA
11082	Epb41l2	SE	0.502	0.971646875099266	n.s.	0.0124915417200496	NA
11733	Srl	SE	-0.665	0.0549515863451854	n.s.	1.26001976582436	NA
12827	Pcsk7	SE	0.237	0.800514530389574	n.s.	0.0966307806581859	NA
14480	Mir9-2hg	SE	-0.583	0.217193714121619	n.s.	0.663152747968081	NA
14489	Mir9-2hg	SE	0.021	0.893883599699046	n.s.	0.0487190307562749	NA
14676	ENSMUSG00000131858	SE	-0.264	0.469653474643658	n.s.	0.328222460268774	NA
15277	Fzd10os	SE	0.504	0.46802274370117	n.s.	0.329733041746575	NA
15491	Elmod3	SE	-0.372	0.893883599699046	n.s.	0.0487190307562749	NA
15667	Dnajb13	SE	-0.669	0.0140268558503317	n.s.	1.85303966609767	NA
16746	Gm28756	SE	0.361	0.631142735591075	n.s.	0.199872412119609	NA
16820	Trip4	SE	0.39	0.0731892075106842	n.s.	1.1355529553367	NA
19097	Fgf5	SE	0.656	0.159985352743315	n.s.	0.795919776806208	NA
19100	Espn	SE	0.578	0.0068969337518484	Up in Saline	2.16134394558491	NA
19289	C030005K06Rik	SE	0.762	0.0234050808174898	n.s.	1.63068985491982	NA
19679	Mul1	SE	-0.469	0.627020032393593	n.s.	0.202718583859842	NA
21228	Alg6	SE	-0.457	0.0521957605330947	n.s.	1.28236477002175	NA
21485	Adam23	SE	0.298	0.561777645890975	n.s.	0.250435546122959	NA
22560	Iffo1	SE	0.36	0.132938008083241	n.s.	0.876350832895547	NA
22663	3110045C21Rik	SE	-0.589	0.0144578284086544	n.s.	1.83989693394074	NA
23636	Casp2	SE	0.321	0.657067654620077	n.s.	0.18238991123859	NA
25455	Socs5	SE	-0.447	0.685877578451498	n.s.	0.16375339412934	NA
26104	Paxx	SE	0.221	0.830718605213223	n.s.	0.0805460627369383	NA
27436	Rfx3	SE	0.458	0.226015258103241	n.s.	0.645862241001441	NA
28883	Fam161a	SE	0.612	0.291304435155409	n.s.	0.535652903120848	NA
29905	Surf1	SE	0.374	0.0375656122627425	n.s.	1.42520952842242	NA
29972	Prkd1	SE	-0.455	0.0644099136552377	n.s.	1.19104728303752	NA
30900	Slc37a3	SE	0.485	0.266949157250065	n.s.	0.573571445857671	NA
31790	Celrr	SE	0.62	0.0840629321071346	n.s.	1.07539546591587	NA
31898	A330049N07Rik	SE	-0.462	0.769159991580656	n.s.	0.113983313991073	NA
32377	Cenpu	SE	-0.556	0.13524736184785	n.s.	0.868871197541879	NA
32493	9130024F11Rik	SE	0.382	0.524178446702247	n.s.	0.280520840449169	NA
32497	9130024F11Rik	SE	0.35	0.422588643334052	n.s.	0.374082178376055	NA
32802	Sox2ot	SE	0.566	0.0903730754497335	n.s.	1.04396093816724	NA
33422	St18	SE	-0.562	0.00729243877525594	n.s.	2.13712720837423	NA
33428	St18	SE	-0.344	0.504377949303283	n.s.	0.297243908429723	NA
33437	Ubn2	SE	-0.252	0.561777645890975	n.s.	0.250435546122959	NA
34137	Cep44	SE	-0.203	0.991210987420157	n.s.	0.00383389251829527	NA
34427	Carf	SE	0.432	0.193339272206395	n.s.	0.713679920569558	NA
36987	Glul	SE	0.247	0.771918488943251	n.s.	0.112428556751211	NA
38111	Gm28175	SE	0.526	0.133116668330388	n.s.	0.875767560523266	NA
38114	Gm28175	SE	0.636	0.205982062453257	n.s.	0.686170597673351	NA
40046	Tmem169	SE	0.539	0.555861098217783	n.s.	0.255033718874786	NA
40432	Kansl1l	SE	0.426	0.436514509985087	n.s.	0.360001315528354	NA
41486	Gm14033	SE	-0.414	0.304406752750659	n.s.	0.516545717703631	NA
41516	Agfg1	SE	0.274	0.142638791504794	n.s.	0.845762349340713	NA
41621	Msantd2	SE	-0.506	0.584455191720434	n.s.	0.233248779171957	NA
42494	Lypd6b	SE	0.332	0.00649032135507354	Up in Saline	2.18773379945849	NA
42979	Rnf38	SE	0.34	0.82744149948214	n.s.	0.0822627012987066	NA
43901	Ccdc34	SE	-0.512	0.336975913420743	n.s.	0.47240114079723	NA
45137	Gm13322	SE	0.463	0.30436231758341	n.s.	0.516609117599958	NA
46323	Pcdh15	SE	-0.447	0.142638791504794	n.s.	0.845762349340713	NA
47015	Gm16835	SE	0.427	0.945270906212064	n.s.	0.0244437087264608	NA
47959	P2ry14	SE	-0.396	0.893883599699046	n.s.	0.0487190307562749	NA
48713	Ythdf3	SE	0.485	0.00130531991983206	Up in Saline	2.88428303438697	NA
49104	Nudt6	SE	0.328	0.113314254790387	n.s.	0.945715453001622	NA
49151	Zfp14	SE	0.408	0.214772483262524	n.s.	0.668021361393134	NA
49354	D3Ertd751e	SE	0.667	0.0826463474140702	n.s.	1.08277633547386	NA
49826	Pcsk4	SE	0.697	0.228264349725599	n.s.	0.64156191122738	NA
50502	A230057D06Rik	SE	0.367	0.291304435155409	n.s.	0.535652903120848	NA
50512	A230057D06Rik	SE	-0.481	0.107080693692534	n.s.	0.970288824019811	NA
50862	Ppp4r1l-ps	SE	-0.695	0.266949157250065	n.s.	0.573571445857671	NA
51420	Cops7b	SE	0.627	0.769159991580656	n.s.	0.113983313991073	NA
51446	Arnt	SE	-0.376	0.931204467294437	n.s.	0.030954949235564	NA
52200	4930578G10Rik	SE	0.667	0.369364055743156	n.s.	0.43254536972938	NA
52618	Ccdc142os	SE	0.662	0.293349131435931	n.s.	0.532615193328478	NA
52668	1700112D23Rik	SE	0.797	0.00793614308850202	n.s.	2.10039051046242	NA
53275	Adgrl2	SE	-0.629	0.0375656122627425	n.s.	1.42520952842242	NA
54139	Mak	SE	0.528	0.991210987420157	n.s.	0.00383389251829527	NA
54234	Pbrm1	SE	0.375	0.319178660772935	n.s.	0.495966151839958	NA
54324	A230006K03Rik	SE	-0.203	0.603999307960932	n.s.	0.218963558976419	NA
54970	Ptma	SE	-0.417	0.13091559874305	n.s.	0.883008603682831	NA
55274	Arnt2	SE	0.276	0.745876274377473	n.s.	0.127333207127224	NA
55887	Gm1976	SE	0.183	0.731492413066992	n.s.	0.135790173954566	NA
56248	Gm57787	SE	0.361	0.685877578451498	n.s.	0.16375339412934	NA
56594	Akap8l	SE	0.213	0.142638791504794	n.s.	0.845762349340713	NA
57379	Tacc2	SE	0.47	0.304406752750659	n.s.	0.516545717703631	NA
57649	Cfap46	SE	-0.45	0.452272656156074	n.s.	0.344599668366189	NA
58550	Phf2os1	SE	0.221	0.205982062453257	n.s.	0.686170597673351	NA
60295	Ushbp1	SE	0.363	0.579399075680954	n.s.	0.237022201964465	NA
62221	Bmpr1b	SE	0.302	0.534618613595135	n.s.	0.271955924664912	NA
62400	2610035D17Rik	SE	-0.621	0.0509039930003256	n.s.	1.29324814949052	NA
63436	Lingo2	SE	0.259	0.0840629321071346	n.s.	1.07539546591587	NA
63768	Scn8a	SE	-0.455	0.390272833314842	n.s.	0.408631678675411	NA
64411	Gm10010	SE	-0.368	0.751744978690821	n.s.	0.123929464104268	NA
65155	ENSMUSG00000140986	SE	0.541	0.0951413520321458	n.s.	1.02163068121202	NA
65497	Kash5	SE	-0.43	0.364016990458274	n.s.	0.438878345224386	NA
67417	Gm32123	SE	-0.733	0.00167926668123154	n.s.	2.77488032888258	NA
68441	Col13a1	SE	0.36	0.64717022189195	n.s.	0.188981474037213	NA
68544	Otud7b	SE	0.446	0.631142735591075	n.s.	0.199872412119609	NA
69996	ENSMUSG00000141108	SE	0.528	0.36925913309701	n.s.	0.43266875422974	NA
70227	Rmst	SE	0.345	0.113314254790387	n.s.	0.945715453001622	NA
70287	Mirg	SE	-0.525	0.549543837774754	n.s.	0.259997657663981	NA
70411	Zfp420	SE	-0.335	0.813662938203133	n.s.	0.0895554653739797	NA
71482	Ube2d-ps	SE	0.387	0.133116668330388	n.s.	0.875767560523266	NA
71489	Ube2d-ps	SE	0.31	0.426508409928095	n.s.	0.370072400957524	NA
73472	ENSMUSG00000138531	SE	0.515	0.524178446702247	n.s.	0.280520840449169	NA
73571	Vps53	SE	-0.508	0.3881991350439	n.s.	0.410945436608861	NA
73927	Synrg	SE	0.373	0.0509039930003256	n.s.	1.29324814949052	NA
75185	Helq	SE	0.341	0.226015258103241	n.s.	0.645862241001441	NA
76328	Silc1	SE	-0.597	0.768512962966289	n.s.	0.114348802598526	NA
77857	D130020L05Rik	SE	0.651	0.144915499039432	n.s.	0.838885163270499	NA
78162	Traf3	SE	-0.482	0.256159595363328	n.s.	0.591489371447623	NA
78886	Pecr	SE	-0.884	6.26247609326408e-10	n.s.	9.20325391902223	NA
