ID	geneSymbol	splicing_event_type	IncLevelDifference	FDR	sig	neglog10fdr	label
116989	4933412O06Rik	SE	0.667	0.141739866107472	n.s.	0.848507981824349	NA
116993	4933412O06Rik	SE	0.588	0.0826463474140702	n.s.	1.08277633547386	NA
117252	Trp53i13	SE	0.377	0.87676979911565	n.s.	0.0571144181472458	NA
117309	Nf1	SE	-0.31	0.991210987420157	n.s.	0.00383389251829527	NA
117511	Mbtd1	SE	-0.494	0.534618613595135	n.s.	0.271955924664912	NA
119110	Gm35823	SE	-0.339	0.563282370090407	n.s.	0.249273841330371	NA
119391	Ing3	SE	0.266	0.561777645890975	n.s.	0.250435546122959	NA
120887	Nalcn	SE	-0.336	0.79125591126206	n.s.	0.101683032464125	NA
121256	Extl3	SE	0.361	0.133116668330388	n.s.	0.875767560523266	NA
121271	Extl3	SE	0.283	0.0411517228562562	n.s.	1.38561197791703	NA
31	5530601H04Rik	RI	-0.293	0.40771948719568	n.s.	0.389638530688395	NA
35	5530601H04Rik	RI	-0.443	0.351218760770429	n.s.	0.454422293786835	NA
69	Plxna3	RI	0.355	0.101103035757429	n.s.	0.995235803925261	NA
156	Gm28578	RI	0.394	0.571724831103052	n.s.	0.242812945136005	NA
404	Thoc1	RI	0.278	0.04856749642184	n.s.	1.31365428314841	NA
575	Gm50335	RI	0.236	0.966243304010266	n.s.	0.0149135026896277	NA
699	Tedc2	RI	-0.361	0.636373391379103	n.s.	0.196287987760242	NA
1202	Atp11b	RI	0.209	0.636373391379103	n.s.	0.196287987760242	NA
1252	0610040F04Rik	RI	-0.321	0.09481469855066	n.s.	1.02312433138957	NA
1556	Dnah10	RI	0.316	0.33730290964374	n.s.	0.471979912481803	NA
1617	Arhgap4	RI	-0.482	0.0166654822772083	n.s.	1.77818211390866	NA
1628	Gbp9	RI	0.695	0.00264174782889097	Up in Saline	2.57810864082747	NA
1714	Bend4	RI	0.631	7.1766799377636e-05	Up in Saline	4.14407642179926	NA
1722	Gm36855	RI	-0.535	0.00706705012486572	Up in TMAO	2.15076182832934	NA
1724	Gm36855	RI	0.501	0.0998378005590944	n.s.	1.00070499512529	NA
1778	C130026L21Rik	RI	0.575	0.0143738936525055	n.s.	1.84242557266286	NA
2308	Ubp1	RI	0.177	0.40771948719568	n.s.	0.389638530688395	NA
2431	A230072C01Rik	RI	0.333	0.484722971435713	n.s.	0.314506398203023	NA
2576	Espl1	RI	0.75	0.287207193986857	n.s.	0.541804686053464	NA
2592	Tekt2	RI	0.693	1.80806640770683e-07	Up in Saline	6.74278562254927	Tekt2_RI
2635	Tgfbr3l	RI	-0.245	0.112682756716053	n.s.	0.948142536802298	NA
3032	Brat1	RI	0.259	0.112937614449288	n.s.	0.947161389987242	NA
3427	Rsrp1	RI	0.328	1.96413887376542e-07	Up in Saline	6.70682780882108	Rsrp1_RI
3700	2610316D01Rik	RI	0.416	0.0251335928628627	n.s.	1.59974542430106	NA
3782	Agrn	RI	0.196	0.281066790724779	n.s.	0.551190465160934	NA
