p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.75444514372165e-69	0.542986967843089	0.432	0.287	4.04875891675645e-65	Oligodendrocyte_lineage	Ube2l3
3.70861094379395e-68	0.680060380270604	0.261	0.146	5.45128722628273e-64	Oligodendrocyte_lineage	Trappc2
3.81480848907513e-68	0.661270428680567	0.262	0.145	5.60738699809153e-64	Oligodendrocyte_lineage	Pycr2
1.28516537925374e-67	0.553352240633465	0.384	0.247	1.88906459096508e-63	Oligodendrocyte_lineage	Manbal
1.45996759667326e-67	0.543902558410414	0.341	0.211	2.14600637035002e-63	Oligodendrocyte_lineage	Anp32b
1.67633108824773e-67	0.725647075826962	0.263	0.15	2.46403906661534e-63	Oligodendrocyte_lineage	Eri3
5.18394915630427e-67	0.556875427245869	0.361	0.228	7.61988686485165e-63	Oligodendrocyte_lineage	Tmed4
6.14097819415798e-67	0.653068549746544	0.282	0.164	9.02662384759282e-63	Oligodendrocyte_lineage	Psmd9
6.16163913697993e-67	0.602169992307779	0.254	0.139	9.05699336744681e-63	Oligodendrocyte_lineage	Frmd4b
6.76106798461686e-67	0.78470687842748	0.279	0.165	9.93809383058832e-63	Oligodendrocyte_lineage	Zfp771
5.06515193945153e-66	0.516343188565019	0.408	0.268	7.44526683579981e-62	Oligodendrocyte_lineage	Bcas2
6.44063766110638e-66	0.550316149164034	0.397	0.26	9.46709329806027e-62	Oligodendrocyte_lineage	Ptpra
1.62299257054146e-65	0.544219716899392	0.334	0.205	2.38563677943889e-61	Oligodendrocyte_lineage	Nacc2
7.49531704783997e-65	0.613803028842446	0.319	0.197	1.101736652862e-60	Oligodendrocyte_lineage	Mrpl54
9.49449270474345e-65	0.504696761651577	0.484	0.325	1.39559548267024e-60	Oligodendrocyte_lineage	Cnn3
4.62667945235295e-64	0.694714186633462	0.268	0.155	6.8007561270136e-60	Oligodendrocyte_lineage	Ebpl
7.81572515758008e-64	0.530865060452331	0.389	0.255	1.1488334409127e-59	Oligodendrocyte_lineage	Pin1
8.16531068070789e-64	0.737158543799234	0.261	0.152	1.20021901695725e-59	Oligodendrocyte_lineage	Cdc42bpa
1.36627795773377e-63	0.595932256132876	0.31	0.188	2.00829197007287e-59	Oligodendrocyte_lineage	Gm561
2.81523251257309e-62	0.575646782644727	0.386	0.254	4.13811027023119e-58	Oligodendrocyte_lineage	Hmgcs1
1.38491375924364e-61	0.57591514518169	0.32	0.2	2.03568473471223e-57	Oligodendrocyte_lineage	Stx12
1.82492315619386e-61	0.582202784016931	0.312	0.194	2.68245454728936e-57	Oligodendrocyte_lineage	Pin4
