GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL	ENTREZID
ENSG00000008018	2933.3183775265	-0.118991708204157	0.0360995519042907	0.000121073667344389	0.00996116614742499	PSMB1	5689
ENSG00000041357	3522.13540412895	-0.160473569683052	0.043964085020188	2.11928046087805e-05	0.00289386254481869	PSMA4	5685
ENSG00000065518	1345.40405172662	-0.260711550665837	0.0606658885329948	9.17250027559505e-07	0.000184405551721526	NDUFB4	4710
ENSG00000100902	2692.47955397284	-0.119341515905752	0.0458960531413422	0.00102414796879983	0.0429000864784944	PSMA6	5687
ENSG00000103035	2589.40534591687	-0.202188890470188	0.0527279727181654	7.92819689305049e-06	0.00130277743861228	PSMD7	5713
ENSG00000109390	831.232838843238	-0.167988853328268	0.073377869098012	0.00129559301784329	0.0514785832294699	NDUFC1	4717
ENSG00000111775	2581.27329659985	-0.186000426738116	0.0600310798896616	0.000119429283080801	0.00996116614742499	COX6A1	1337
ENSG00000112695	2018.43272619613	-0.277705824445093	0.0707900361976892	4.06200754228825e-06	0.000729280798564529	COX7A2	1347
ENSG00000119013	649.95051571094	-0.363760414024138	0.0706352361507164	1.27356297765899e-08	4.59003380079744e-06	NDUFB3	4709
ENSG00000120129	4874.75885556111	0.2843857342654	0.0560816191473743	2.74820536861423e-08	8.881283682905e-06	DUSP1	1843
ENSG00000123384	5541.52544281928	0.120686940132822	0.0437734254631243	0.000681788991021345	0.0340718776698553	LRP1	4035
ENSG00000125356	709.579047916334	-0.268374266012158	0.0727796936723547	1.19753775599781e-05	0.00181408258506231	NDUFA1	4694
ENSG00000126267	1028.83544011762	-0.152319108393973	0.0876703214786566	0.00414236786641308	0.0998750213260373	COX6B1	1340
ENSG00000127184	3317.91282476523	-0.282641524867544	0.0542708083769652	1.00314441956983e-08	4.05228547822064e-06	COX7C	1350
ENSG00000127922	1067.83115787417	-0.333678502330419	0.0814899879369131	1.87141064553444e-06	0.000348910119393392	SEM1	7979
ENSG00000135390	3805.3467649305	-0.146092694806814	0.0534612789383021	0.000546352039541408	0.029427127907522	ATP5MC2	517
ENSG00000136810	3388.22977982248	-0.162015405272107	0.0428747784886946	1.25732171820416e-05	0.00186507977949725	TXN	7295
ENSG00000142168	2602.54905131841	-0.109657400079176	0.0379347197322021	0.000519083827960167	0.0284369172726374	SOD1	6647
ENSG00000143947	11202.0973015363	-0.235897697178927	0.0484018959152775	6.34325572626449e-08	1.9838020731011e-05	RPS27A	6233
ENSG00000154723	1040.12805823146	-0.179001689189997	0.0816911192884189	0.00146898918229855	0.0552009694666062	ATP5PF	522
ENSG00000164405	1791.48810873908	-0.198221446674244	0.0850651504905823	0.000927217932955182	0.0405164144502772	UQCRQ	27089
ENSG00000164919	1634.57861369869	-0.25747983471004	0.0764442475493056	3.58363104891687e-05	0.00434291287740613	COX6C	1345
ENSG00000165629	2597.85595336637	-0.130448632098622	0.0571675214514496	0.00189695616312109	0.0639683546180649	ATP5F1C	509
ENSG00000165637	3285.38525433638	-0.117069628959628	0.0450132879131796	0.00105303547851251	0.043628969932388	VDAC2	7417
ENSG00000167863	2036.25065447087	-0.121935175855822	0.0605161368032348	0.00385369467984334	0.0967137040318515	ATP5PD	10476
ENSG00000168653	2081.02626618202	-0.156195648829447	0.0585045024260491	0.000489501859545684	0.027763516411959	NDUFS5	4725
ENSG00000173660	2146.46801430629	-0.177215907560493	0.0569272240865051	0.000121239567343595	0.00996116614742499	UQCRH	7388
ENSG00000176340	2886.49107857759	-0.194252923890188	0.0849220278487089	0.001046316984742	0.0435366659531058	COX8A	1351
ENSG00000184752	942.530106594359	-0.259611729006232	0.056000459573134	1.94573557769419e-07	4.9641859015119e-05	NDUFA12	55967
ENSG00000186010	2378.45512547825	-0.148479401466951	0.0600532190876971	0.000968684494831495	0.0413775335846931	NDUFA13	51079
ENSG00000196950	676.113843333594	-0.46486710289117	0.125809569267761	7.88940802654693e-06	0.00130277743861228	SLC39A10	57181
ENSG00000198712	56132.3461360072	-0.171366503644218	0.0478724287118943	4.67781329348254e-05	0.00534773408436603	MT-CO2	4513
ENSG00000198840	8702.97061987535	-0.545853547204258	0.0618712316710972	4.73178587268695e-20	4.58746640357e-16	MT-ND3	4537
ENSG00000198938	64344.976862648	-0.230188011966603	0.0421667640299728	2.94379271505118e-09	1.76192783187074e-06	MT-CO3	4514
ENSG00000212907	5402.90925069956	-0.30485971004969	0.266659516728528	0.00386056765965204	0.0967137040318515	MT-ND4L	4539
ENSG00000221983	7795.02234265513	-0.117331575917856	0.0445194506327641	0.00154628693876207	0.0570009576855446	UBA52	7311
ENSG00000241837	2566.97014979958	-0.131284163599802	0.0484078440220843	0.000630193587255797	0.0323265969758992	ATP5PO	539
