GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL	ENTREZID
ENSG00000002330	923.363214164277	0.31019707024212	0.101107561655997	0.00110219957539279	0.00465707123565199	BAD	572
ENSG00000004779	1486.31581998065	0.302898317248761	0.0730334047284758	1.82325697586643e-05	0.000127307542064329	NDUFAB1	4706
ENSG00000004975	1919.95218776159	-0.211242101345745	0.0884428008336473	0.0118075801874116	0.0349936203947504	DVL2	1856
ENSG00000005022	8055.03013323969	0.258094177084714	0.0497799808233403	1.39688963031036e-07	1.55707970734019e-06	SLC25A5	292
ENSG00000007171	7.6305414003954	-3.063170301891	1.23846939931878	0.00107264215534256	0.00455204534507739	NOS2	4843
ENSG00000008018	3185.41593652287	0.50041358066416	0.066199344432278	1.12610704143496e-14	3.90333389261595e-13	PSMB1	5689
ENSG00000010256	4907.82372294744	0.346331912201729	0.0840304030989388	1.66778984795831e-05	0.000117832813060949	UQCRC1	7384
ENSG00000015475	1337.50185566479	0.542937668065228	0.114345304769628	4.72679746135924e-07	4.74640310215814e-06	BID	637
ENSG00000023228	1311.70833465598	0.258809148862793	0.0910789951072929	0.00272726333355821	0.010080204697078	NDUFS1	4719
ENSG00000023287	1387.91575864878	0.637580744970052	0.145317186953633	2.02490599827803e-06	1.77353835711248e-05	RB1CC1	9821
ENSG00000026103	1043.08943372751	0.42940865310579	0.155903786663887	0.00178228625571071	0.00701237766530771	FAS	355
ENSG00000041357	3896.36727409969	0.554188613613637	0.0600123078747755	6.13769408733262e-21	4.52844915186341e-19	PSMA4	5685
ENSG00000055332	4377.64647293341	-0.408209571050816	0.154074891357326	0.00240334885858611	0.00905140671242907	EIF2AK2	5610
ENSG00000065135	2787.57254393357	0.421805590997227	0.0986512479245637	6.56219161026118e-06	5.15217650614905e-05	GNAI3	2773
ENSG00000065518	1625.08398324628	0.592974026469443	0.0961154745388042	1.4170356515995e-10	2.74444379823533e-09	NDUFB4	4710
ENSG00000066739	762.569174254652	-0.538246220067223	0.254536307502986	0.00519882145571904	0.0173488131886519	ATG2B	55102
ENSG00000070770	1960.09184497949	-0.523017881283344	0.0886956171322789	8.32997069448091e-10	1.38630038603961e-08	CSNK2A2	1459
ENSG00000072062	1135.25049153176	-0.632578065825239	0.101505744412836	7.44945665927646e-11	1.52472762851822e-09	PRKACA	5566
ENSG00000072506	1865.4669012824	0.301927672345121	0.0729560861440103	1.89190567193154e-05	0.00013127266673044	HSD17B10	3028
ENSG00000076984	1242.68782670125	-0.196441780225793	0.0855286277926517	0.0158527274775678	0.0447154850787249	MAP2K7	5609
ENSG00000078061	1112.2021972219	-0.422795908590829	0.117878426863654	0.000100021234530981	0.000576107437852424	ARAF	369
ENSG00000078142	1182.16995761121	0.291425349480456	0.148011110240228	0.0264364278045894	0.0682449204272424	PIK3C3	5289
ENSG00000078668	2598.51746296193	0.428787288326327	0.071461427855056	6.60704073109239e-10	1.12706633806038e-08	VDAC3	7419
ENSG00000080815	2877.44521181701	0.232094356680066	0.0729221614921243	0.000992641005435061	0.00426392562744963	PSEN1	5663
ENSG00000087191	3221.15118141093	0.25642663223037	0.0625505091211849	2.70256028153126e-05	0.000180957082982046	PSMC5	5705
ENSG00000087460	15042.0212267616	-0.291600430898669	0.0796765172736058	0.000134402307432703	0.000750424991481909	GNAS	2778
ENSG00000090266	1340.74020404259	0.453124446899027	0.104326475791798	4.29581663504868e-06	3.52539104573328e-05	NDUFB2	4708
ENSG00000096433	4496.32507568984	-0.66314505213021	0.0838283353960068	3.90009692520603e-16	1.61572464596637e-14	ITPR3	3710
ENSG00000099341	2808.58964813822	0.319465001970379	0.0757501171821053	1.25258448855919e-05	9.12866607043092e-05	PSMD8	5714
ENSG00000099795	1248.99307890502	0.473688087879844	0.0962261731614275	2.46955833756948e-07	2.62617274415247e-06	NDUFB7	4713
ENSG00000100219	3603.26304979081	0.332216106316702	0.0709541079412254	1.38103085712913e-06	1.25942861096873e-05	XBP1	7494
ENSG00000100348	1361.14344726112	0.287958351965597	0.0879572731755142	0.000591617318365152	0.00273678144454694	TXN2	25828
