GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL	ENTREZID
ENSG00000087460	16182.2446761667	0.137205500124589	0.042539494249913	0.000138666747314213	0.0153842186851746	GNAS	2778
ENSG00000120129	4985.04756250827	0.340213021748739	0.0691262932413006	5.18265268340455e-08	0.000170578375319788	DUSP1	1843
ENSG00000123416	43465.5966210211	0.128568744524209	0.0387524935555675	0.000117486197477736	0.0144252796498475	TUBA1B	10376
ENSG00000125356	719.169448727968	-0.271117963083789	0.0954894308494702	0.00019542324474643	0.0175419010784205	NDUFA1	4694
ENSG00000126934	3483.33711212597	0.213273414738297	0.058570047023468	1.85993708680154e-05	0.00526111482026046	MAP2K2	5605
ENSG00000127184	3437.61827028055	-0.190655824878346	0.0843919530565713	0.00118444644353681	0.0557362468884797	COX7C	1350
ENSG00000141873	928.000427621365	0.234302699750766	0.0961110112862979	0.00074253491339803	0.0409597191893416	SLC39A3	29985
ENSG00000159377	4551.17611308849	0.127359531370316	0.0402440939819122	0.00019294571363785	0.0175419010784205	PSMB4	5692
ENSG00000160087	1732.11946050231	0.162270278235795	0.0707207989842858	0.00153657685987352	0.0644124856495503	UBE2J2	118424
ENSG00000166313	1004.27353025947	0.203434768808385	0.0833849710698629	0.00082544544995534	0.0440564776911299	APBB1	322
ENSG00000179091	2992.47556308291	0.164657510306333	0.082437226975404	0.00292230399936558	0.095921011759853	CYC1	1537
ENSG00000180340	573.102969258	0.231067878912433	0.11611327894483	0.00202463265003407	0.0757243287365015	FZD2	2535
ENSG00000196950	717.873216658415	-0.433419741036661	0.159611018288086	0.000190007460876683	0.0175419010784205	SLC39A10	57181
ENSG00000198840	8946.29082735046	-0.448906089427634	0.0978733583806838	1.56015293119512e-07	0.00025674916737701	MT-ND3	4537
ENSG00000212907	5415.22099627183	-0.588819433811313	0.236073389440019	0.00028141569687371	0.0225910454547237	MT-ND4L	4539
