GENEID	baseMean	log2FoldChange	lfcSE	pvalue	padj	SYMBOL	ENTREZID
ENSG00000015475	1250.12368101574	0.192181371202756	0.0689886947892464	0.000284454397390203	0.0238050628073745	BID	637
ENSG00000041357	3520.01028893693	-0.179973184672805	0.0410999651562307	7.74752233352253e-07	0.000297194956713924	PSMA4	5685
ENSG00000065518	1355.99215105032	-0.182633662845286	0.0598712991044635	0.000123594149453942	0.015104718308769	NDUFB4	4710
ENSG00000112695	2022.1793118018	-0.261683764337118	0.0650419371608862	2.74140673532214e-06	0.000858197600285155	COX7A2	1347
ENSG00000113712	5825.88639436028	0.10786545366931	0.0370832309909173	0.00040177197544404	0.02973320531572	CSNK1A1	1452
ENSG00000117020	1538.88357671593	-0.315358532990848	0.169798495606321	0.00150580336592147	0.0716065501447283	AKT3	10000
ENSG00000119013	653.735806878641	-0.266649145451409	0.0958508061602774	0.00020835007969139	0.0199735419783281	NDUFB3	4709
ENSG00000120129	4917.9451593616	0.324242097185394	0.0561938351552911	4.6016283250018e-10	6.6194423455151e-07	DUSP1	1843
ENSG00000125356	703.210001412598	-0.308965239543842	0.0731396868418911	1.14626395927773e-06	0.000425522762689294	NDUFA1	4694
ENSG00000126267	1019.80170822985	-0.221831353622833	0.0695088069431635	6.66632014436462e-05	0.0105493061664614	COX6B1	1340
ENSG00000127184	3304.1310664153	-0.320201279438253	0.0612715937350752	7.92967195246573e-09	6.81870652972351e-06	COX7C	1350
ENSG00000127922	1075.70009396252	-0.247897030106616	0.0900589979585424	0.000230502285588444	0.0210525420837445	SEM1	7979
ENSG00000135940	866.072476016183	-0.176373515221231	0.0610010231535863	0.000211745926429964	0.0199735419783281	COX5B	1329
ENSG00000136810	3383.7029996744	-0.171023385951267	0.0423490020624978	3.50104474375424e-06	0.00105538400692873	TXN	7295
ENSG00000143947	11231.7968136234	-0.150389086626835	0.0552461095023897	0.000401507451366434	0.02973320531572	RPS27A	6233
ENSG00000161057	1691.84192772534	-0.143406815731226	0.0655550532477739	0.00151698169203419	0.0718412564276934	PSMC2	5701
ENSG00000162337	4514.38124037446	0.121733523330712	0.0406716620727156	0.000265528833850221	0.0231492865147602	LRP5	4041
ENSG00000164258	1007.81558530028	-0.165814045649983	0.0844609345473344	0.0021435876433672	0.0865558126311221	NDUFS4	4724
ENSG00000164405	1774.40615514462	-0.260745444796478	0.0894839058460448	0.000138315644696108	0.0164096540119877	UQCRQ	27089
ENSG00000164919	1629.68309592949	-0.281666444486019	0.0751301897233947	7.64018285989434e-06	0.00199825509890146	COX6C	1345
ENSG00000166313	982.526127354682	0.203837164620762	0.0605782515046848	4.2535854594401e-05	0.00789520346245753	APBB1	322
ENSG00000168653	2083.07076572597	-0.143353427228696	0.0556373347960557	0.00064617050237369	0.0390976840568102	NDUFS5	4725
ENSG00000169032	2673.91321332611	0.11703371379754	0.0408009512070441	0.000396778347143805	0.02973320531572	MAP2K1	5604
ENSG00000172115	3285.51585597834	-0.178821313924125	0.090379965452927	0.0018624328068672	0.081411144401331	CYCS	54205
ENSG00000184752	949.873258931776	-0.153891104930261	0.0735048195060759	0.0018201479882927	0.0808736025068431	NDUFA12	55967
ENSG00000186010	2378.59609228156	-0.134728528242155	0.0635286344423996	0.00203148274683959	0.085311580994315	NDUFA13	51079
ENSG00000196950	686.912290258561	-0.450651537889969	0.13603628445847	3.02030904960652e-05	0.00609784500752137	SLC39A10	57181
ENSG00000198840	8760.82571781085	-0.430962222484022	0.0678468569126186	8.8646176066248e-12	2.55035048542596e-08	MT-ND3	4537
ENSG00000198938	65033.576764741	-0.14607353307315	0.0552645878218342	0.000609005654327969	0.0379095415538164	MT-CO3	4514
ENSG00000241837	2575.51586612285	-0.119625515540552	0.0457133661908529	0.000768001936662905	0.0438692921236696	ATP5PO	539
