Sample	Control_1	GDCA_1	GDCA_2	Control_2	GDCA_3	Control_3	GDCA_4
Control_1	1	-0.367760799181177	-0.444636484908253	0.568471799539769	-0.745025608658697	0.626925686098585	-0.73597261849403
GDCA_1	-0.367760799181177	1	-0.507404757548628	-0.287454471900581	0.107670238077837	-0.569437336572348	0.542323281415149
GDCA_2	-0.444636484908253	-0.507404757548628	1	-0.515475857456756	0.59654924211523	-0.139788988284868	0.176975507142095
Control_2	0.568471799539769	-0.287454471900581	-0.515475857456756	1	-0.658335591543126	0.775022123313772	-0.781914538832973
GDCA_3	-0.745025608658697	0.107670238077837	0.59654924211523	-0.658335591543126	1	-0.504958257323719	0.459607130072527
Control_3	0.626925686098585	-0.569437336572348	-0.139788988284868	0.775022123313772	-0.504958257323719	1	-0.931127795574886
GDCA_4	-0.73597261849403	0.542323281415149	0.176975507142095	-0.781914538832973	0.459607130072527	-0.931127795574886	1
