motif	TF_name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
MA0004.1_Arnt	Arnt	4.09855428729858	2.05731939834537	4.89423623786663	1.71766605410616e-19	1.01078040876247e-18
MA0111.1_Spz1	Spz1	1.0428811333	0.559021956473865	1.28612842085955	0.366951340000358	0.406837355217788
MA0142.1_Pou5f1::Sox2	Pou5f1::Sox2	2.4783609162493	1.06457663482415	3.29885718248409	1.88042928744467e-06	3.99591223581992e-06
MA0151.1_Arid3a	Arid3a	3.37182504031814	1.47800147449341	4.36705169319903	9.49242094815849e-13	3.45795334540059e-12
MA0145.2_Tfcp2l1	Tfcp2l1	2.37938606026165	0.927033472671634	3.16133638586831	6.82115983456453e-06	1.42964034888818e-05
MA0515.1_Sox6	Sox6	3.21220642461284	1.66471004212421	4.07520878978246	1.84062060963828e-11	5.99180751648204e-11
MA0604.1_Atf1	Atf1	4.67226487050356	2.43938782777317	5.67777556179375	7.99025595818874e-26	6.79171756446043e-25
MA0608.1_Creb3l2	Creb3l2	3.16199920590385	1.32258741195233	3.90477788872247	4.523318206703e-11	1.38413537125112e-10
MA0614.1_Foxj2	Foxj2	2.91030171773527	0.733931363720308	3.62280286382492	3.22017557795205e-09	9.12383080419748e-09
MA0676.1_Nr2e1	Nr2e1	1.53065629174019	0.762374840537355	2.0365752652026	0.0290009349529221	0.0407077343834594
MA0512.2_Rxra	Rxra	2.22115235527731	0.976064661997014	2.66730956198223	4.68006659433373e-05	9.18013062734692e-05
MA0728.1_Nr2F6	Nr2F6	2.17417010669527	0.781955899676581	2.92415544591008	8.02977483101042e-05	0.000155513360651215
MA0816.1_Ascl2	Ascl2	5.72108328987347	2.12115229109084	7.19453270255299	1.11573511273994e-39	1.06692170155757e-38
MA0857.1_Rarb	Rarb	2.48041194126157	0.860751419640207	3.39210285994094	1.82963929633965e-06	3.94274383577417e-06
MA0858.1_Rarb	Rarb	3.22775962745498	0.922285844667936	4.1919692562791	1.38862971031236e-11	4.75353146306066e-11
MA0860.1_Rarg	Rarg	2.06211650228242	0.73114521517129	2.77147702450838	0.000274170906916452	0.000505399382629123
MA0870.1_Sox1	Sox1	0.903944526850119	0.271163647662136	1.19913187034914	0.556352653597652	0.589484078313376
MA2095.1_Sox7	Sox7	3.37867161192216	1.16886393748455	4.64687232666256	8.32878215392641e-13	3.10805773061156e-12
MA1684.1_Foxn1	Foxn1	2.23575906243798	1.01238741136594	2.91827688626759	3.94513246754622e-05	7.83902944850093e-05
MA2122.1_Ebf4	Ebf4	0.765590843439629	0.117382566742659	1.07043910516891	0.741736395431735	0.761648781886278
MA2123.1_Hand1	Hand1	1.79992167723666	0.923892542329603	2.3194013376704	0.00348401026530609	0.00549539763496733
MA2124.1_Hmga1	Hmga1	4.20984001676943	2.06375944363902	5.49379926580878	1.19103984483207e-20	7.59287901080445e-20
MA2125.1_Zfp809	Zfp809	0.571543415104959	0.31352951652466	0.65403277907258	0.923342955911288	0.923342955911288
MA2126.1_Zfp961	Zfp961	1.25001253377494	0.548183548966893	1.6070521549833	0.153551137049147	0.184986802901728
MA1573.2_Thap11	Thap11	5.87549564240325	2.70584686320211	7.27236056312012	5.7590719243888e-42	5.87425336287657e-41
MA2337.1_Nr1h3	Nr1h3	7.34057755319027	1.70173243349882	10.2275090594202	8.25718896670247e-67	1.57918738988185e-65
MA2338.1_Ppara	Ppara	3.63745532907351	1.37758954715091	4.58260133066692	4.78321666968552e-15	2.09094900131967e-14
MA2339.1_Nanog	Nanog	0.909948365408266	0.513498333042206	1.04599471022698	0.547919230001106	0.586235260071113
MA2340.1_Zbtb2	Zbtb2	2.66656788009272	1.43940386069008	3.16359639900847	1.35963731504236e-07	3.10484342091762e-07
MA0006.2_Ahr::Arnt	Ahr::Arnt	1.94260668452681	0.916677762029767	2.42503963079086	0.000925564013419892	0.0015911381354297
MA0854.2_Alx1	Alx1	1.35640566288767	0.584262781642146	1.72229156291656	0.087177995537762	0.110233333200641
MA0853.2_Alx4	Alx4	1.33997340458187	0.527743579151125	1.80385510043288	0.0956449308864372	0.118972962809958
MA0007.4_Ar	Ar	20.9091291416799	10.9201996260057	25.9885198356524	0	0
MA0601.2_Arid3b	Arid3b	0.894592372510043	0.35916466073296	1.05696056842435	0.56947713980555	0.596780838289378
MA0602.2_Arid5a	Arid5a	1.51012100229787	0.488855267536446	2.04781957055267	0.0333873889239076	0.046020455003224
MA0259.2_ARNT::HIF1A	ARNT::HIF1A	3.39848438055905	0.903583142096185	4.0407377728843	5.69509044232511e-13	2.17837209418935e-12
MA0603.2_Arntl	Arntl	3.44055294940331	1.8024783116724	4.29149741677014	2.52007514409339e-13	9.88644864221252e-13
MA0874.2_Arx	Arx	1.35015736409806	0.528639320579203	1.74385505368421	0.0903258249906932	0.113277469045705
MA1988.2_Atf3	Atf3	7.88036740695514	3.98389435911553	9.93565374870104	2.16147616762879e-77	8.26764634118014e-76
MA0461.3_Atoh1	Atoh1	2.78130133236033	0.865077331368607	3.82035752631488	2.44881376656285e-08	5.94711914736692e-08
MA1467.3_Atoh1	Atoh1	10.8164631343083	2.05618795901495	15.1643174103196	2.29107806896501e-148	1.16844981517216e-146
MA0591.2_Bach1::Mafk	Bach1::Mafk	3.12893500828495	1.48332576125874	3.99638092621192	8.10617723932493e-11	2.43185317179748e-10
MA0489.3_Jun	Jun	7.67055431956996	3.81010506579744	9.64418955857887	3.4606776863399e-73	1.05896737202001e-71
MA1989.2_Bcl11B	Bcl11B	1.59273542415853	0.728373877565823	2.12158432217338	0.0186069188730407	0.0268571564865587
MA1472.3_Bhlha15	Bhlha15	2.89950583047043	1.2863459182049	3.63977450667537	3.83175046944224e-09	1.06592331240848e-08
MA0840.2_Creb5	Creb5	3.83588413819978	1.36453166232432	4.69048815795909	6.88190663183995e-17	3.76047040954111e-16
MA0467.3_Crx	Crx	2.61407470109177	1.34634504910274	3.3590685721502	2.89524728103262e-07	6.5143063823234e-07
MA0650.4_Hoxa13	Hoxa13	1.71028632546834	0.833260871039438	2.15124962980862	0.00745948080786208	0.0111892212117931
MA0885.3_Dlx2	Dlx2	2.58896336581214	1.3664021402394	3.27999273045609	4.13017186702742e-07	9.15820718340862e-07
MA0880.2_Dlx3	Dlx3	1.92409655196864	0.777217374881366	2.565093157646	0.00110787159142512	0.00180323780306429
MA0881.2_Dlx4	Dlx4	1.92409655196864	0.777217374881366	2.565093157646	0.00110787159142512	0.00180323780306429
MA1476.3_Dlx5	Dlx5	2.72048693001047	1.37943032572899	3.46155679620872	6.13995677382964e-08	1.46783341624365e-07
MA0883.2_Dmbx1	Dmbx1	1.00739892222623	0.44538144053165	1.31897542547381	0.41328176890169	0.454907270805457
MA1603.2_Dmrt1	Dmrt1	2.70172378590962	1.0971695256268	3.61214050458127	8.11405828179611e-08	1.88098623805273e-07
MA0611.3_Dux	Dux	0.902300354254253	0.424786999045027	1.05698861216483	0.558661381408102	0.589484078313376
MA1604.2_Ebf2	Ebf2	0.96218212756295	0.472058814803455	1.21697199281022	0.474862278089725	0.51164738413893
MA0136.4_Elf5	Elf5	1.77978707308147	0.93885168116999	2.11223376147175	0.00415376106865638	0.00648495350514721
MA0480.3_Foxo1	Foxo1	2.80158439903034	1.00819778457126	3.49107582301836	1.79268622363994e-08	4.49640970847395e-08
MA0474.4_Erg	Erg	2.09592032059594	1.06448889399952	2.50793935325917	0.000190977078762973	0.000356335281106523
MA0643.2_Esrrg	Esrrg	3.5122651811219	1.48158925237551	4.42281851733926	6.11845974197078e-14	2.4634851066356e-13
MA1606.2_Foxf1	Foxf1	2.80158439903034	1.00819778457126	3.49107582301836	1.79268622363994e-08	4.49640970847395e-08
MA0851.2_Foxj3	Foxj3	3.1747051786721	0.828211560044195	3.9252630874742	3.60821587841661e-11	1.1266469987709e-10
MA1607.2_Foxl2	Foxl2	2.32833867340361	0.770994251890498	3.0470088525262	1.29282796479019e-05	2.63736904817198e-05
MA0157.4_Foxo3	Foxo3	2.80158439903034	1.00819778457126	3.49107582301836	1.79268622363994e-08	4.49640970847395e-08
MA0037.5_Gata3	Gata3	1.16714616550171	0.574527204217594	1.47919631924139	0.225674230858003	0.261576949403594
MA0483.2_Gfi1B	Gfi1B	1.4035608568959	0.420953423867321	1.89451492985411	0.0661093832698642	0.0886842575689599
MA1990.2_Gli1	Gli1	1.6026075365719	0.706314874159941	2.14767331793689	0.0172959566176217	0.0252026796428202
MA0734.4_Gli2	Gli2	0.829802689285339	0.40874933083657	1.0839463725243	0.658894917343025	0.681154880766776
MA0615.2_Gmeb1	Gmeb1	3.33745983517411	1.40451736240757	4.27742713143241	1.82183014272673e-12	6.48232585667882e-12
MA0092.2_Hand1::Tcf3	Hand1::Tcf3	1.96628501179576	0.959469920498576	2.50524925542514	0.00073290882032915	0.00127426192625409
MA0739.2_Hic1	Hic1	4.57695871587778	0.830230602832048	6.42124759060635	1.03709557379188e-24	8.35134856790303e-24
MA0896.2_Hmx1	Hmx1	1.7301748725476	0.744245669345123	2.11446054504995	0.00633032320876284	0.0095894995142645
MA0897.2_Hmx2	Hmx2	1.21250175295348	0.31504028287783	1.46986322239724	0.183900171640652	0.216918654228499
MA0898.2_Hmx3	Hmx3	1.33837567252394	0.384881996459457	1.57796264942868	0.0965009391627642	0.119069707192765
MA1991.2_Hnf1A	Hnf1A	1.073314575099	0.399089589005172	1.33430509421132	0.329059810747006	0.36749015360797
MA0911.2_Hoxa11	Hoxa11	1.21202541628286	0.44805699665742	1.65029602497678	0.18430996764513	0.216918654228499
MA0909.4_Hoxd13	Hoxd13	1.49855870192732	0.758881848107472	1.85013146875711	0.0360958422488257	0.0493094987863423
MA1992.2_Ikzf3	Ikzf3	2.54626769571165	1.14618211719854	3.08394934866339	7.48505017009072e-07	1.63601810860554e-06
MA0050.4_Irf1	Irf1	3.22738557430471	1.38145504842109	4.43925037315073	1.39809748913549e-11	4.75353146306066e-11
MA1608.2_Isl1	Isl1	0.683265579913137	0.0530640325427696	0.958594987393943	0.833363463187512	0.841744881838161
MA0768.3_Lef1	Lef1	0.881273907524638	0.238753660648346	1.21392722256352	0.588117475313719	0.612122270224483
MA1518.3_Lhx1	Lhx1	1.12385016711491	0.235708987958159	1.56490974016187	0.270658904187871	0.309035912990629
MA0135.2_Lhx3	Lhx3	1.96801675307579	0.801262043730554	2.36063512433644	0.000720397763401218	0.00126690641149869
MA0704.2_Lhx4	Lhx4	1.35851856157272	0.636633286589722	1.75382133016734	0.0861331449565274	0.109819759819572
MA0705.2_Lhx8	Lhx8	1.35851856157272	0.636633286589722	1.75382133016734	0.0861331449565274	0.109819759819572
MA0117.3_Mafb	Mafb	1.09759750144717	0.399384242342997	1.47518663386063	0.300247447574652	0.337778378521483
MA0659.4_Mafg	Mafg	2.33109207199425	1.18999452704483	2.78778944583247	1.24954973526248e-05	2.58352850669134e-05
MA0029.2_Mecom	Mecom	1.70039711805147	0.414218485858772	2.36124255026615	0.00808556085748866	0.0120105903999589
MA0622.2_Mlxip	Mlxip	4.09855428729858	2.05731939834537	4.89423623786663	1.71766605410616e-19	1.01078040876247e-18
MA1524.3_Msgn1	Msgn1	5.8996446173545	1.10509023132982	8.31094519350221	2.49416166314213e-42	2.72576238900533e-41
MA0709.2_Msx3	Msx3	1.92409655196864	0.777217374881366	2.565093157646	0.00110787159142512	0.00180323780306429
MA1993.2_Neurod2	Neurod2	6.3199717768704	2.12282598779456	7.57174893449764	6.66031131224598e-49	7.83867408287411e-48
MA0668.3_Neurod2	Neurod2	11.3594023826239	2.54021111142643	15.9545727735222	5.72770478122406e-164	4.3816941576364e-162
MA0606.3_Nfat5	Nfat5	3.71800273999977	1.76993932744638	4.92821274614597	8.80888730115508e-16	4.21174924086477e-15
MA0624.3_Nfatc1	Nfatc1	1.9883163128545	0.526388885978725	2.75024713433567	0.000587844087504042	0.00105811935750728
MA0152.3_Nfatc2	Nfatc2	2.03080562549001	1.04460344027339	2.34008618189762	0.000380630200935449	0.000693290723132425
