Motif	Control_1	Control_2	Control_3	GDCA_1	GDCA_2	GDCA_3	GDCA_4
MA0007.4_Ar	0.0599736587802794	0.0620902568419388	0.0540216412190217	-0.0180150063536682	-0.0333596185352761	-0.024277084923176	-0.0737575939027502
MA0668.3_Neurod2	0.0429248563061507	-0.00031231211196146	-0.000140434658006974	-0.0190856507045127	-0.00375130974184285	-0.00302705628044765	-0.015693342299619
MA1467.3_Atoh1	0.0392758819163842	0.000164512370617707	-0.000764985069288612	-0.0163885051910565	-0.00556939216633778	-0.00303131946490091	-0.0132426494024669
MA1988.2_Atf3	-0.0126270657540919	0.00505853105160609	-0.00895124322923432	0.0289090232558331	-0.0163362694922478	0.00652418977365638	-0.000191074116587295
MA0489.3_Jun	-0.0141387601307731	0.0058375747113088	-0.0100713881070188	0.0315380010104976	-0.0178708291931357	0.00723844201409175	-9.34099421023363e-05
MA1110.3_Nr1H4	0.0184636153142308	-0.00542544752095638	-0.00167350192975953	0.00157503189361902	-0.00234735203920339	-0.00506531792708759	-0.00276815375692122
MA1996.2_Nr1H2	0.0184636153142308	-0.00542544752095638	-0.00167350192975953	0.00157503189361902	-0.00234735203920339	-0.00506531792708759	-0.00276815375692122
MA2337.1_Nr1h3	0.0184636153142308	-0.00542544752095638	-0.00167350192975953	0.00157503189361902	-0.00234735203920339	-0.00506531792708759	-0.00276815375692122
MA1618.2_Ptf1A	0.0266914791744741	0.00397737225231437	0.00282433812600149	-0.0127461555669406	-0.0020738159311196	-0.00190498944373906	-0.0146509068259761
MA0521.3_Tcf12	0.0017334023810224	0.00354714467077908	0.00671409038309835	-0.0103550672588291	0.00785821270052992	0.000510002352850531	-0.00842911729347028
MA0633.3_Twist2	0.0017334023810224	0.00354714467077908	0.00671409038309835	-0.0103550672588291	0.00785821270052992	0.000510002352850531	-0.00842911729347028
MA1993.2_Neurod2	0.0017334023810224	0.00354714467077908	0.00671409038309835	-0.0103550672588291	0.00785821270052992	0.000510002352850531	-0.00842911729347028
MA1997.2_Olig2	0.0017334023810224	0.00354714467077908	0.00671409038309835	-0.0103550672588291	0.00785821270052992	0.000510002352850531	-0.00842911729347028
MA1524.3_Msgn1	0.0350922009937688	-0.00171153258915618	-0.00145117208993659	-0.0126985394134833	-0.000891229371513841	-0.00104868162151146	-0.0151979941490769
MA1573.2_Thap11	-0.00233590992732327	-0.00502456946682398	-0.0180204573035689	0.0202504646597873	-0.00860367553914502	0.00203502189059946	0.00973807830785646
MA0816.1_Ascl2	-0.00247545604965871	0.0052968272129118	0.0119064625137478	-0.0156394810963208	0.0115773466159542	0.00276054725255634	-0.0116404512392481
MA1627.2_Wt1	-0.00840178207922548	0.0051042489975818	-0.00280776980189526	0.0015048858677365	-0.00331713234935093	0.00398692278111012	0.00145596527172611
MA0604.1_Atf1	0.0186643707020467	0.00189284059582637	-0.00676431884568156	0.0342720118816494	-0.0428730214319944	-0.0130209735670913	0.0110241012112303
MA0739.2_Hic1	0.029007753674437	-0.0016559126950488	0.000866184272542396	-0.00474747487874515	-0.00336648280976114	-0.00520805616066414	-0.0109661669073942
MA0095.4_Yy1	-0.000781258497601903	-0.00475337036277761	-0.00810415747784789	0.0206833025047451	-0.0191955299616809	0.00441142553118627	0.00698457142621798
MA1629.2_Zic2	0.0147136291964313	-8.07107559937487e-05	0.00168367716212417	-0.0039239535742762	0.00494403182516782	-0.0039213691888685	-0.00941962123798882
MA0697.3_Zic3	0.00902658859184746	-0.00145226756249031	0.00252739811253858	-0.00715749711662992	0.00672797739203814	-0.00322126091354334	-0.00467298058618591
MA1628.2_Zic1::Zic2	0.00902658859184746	-0.00145226756249031	0.00252739811253858	-0.00715749711662992	0.00672797739203814	-0.00322126091354334	-0.00467298058618591
MA2124.1_Hmga1	-0.0125166374865457	-0.00140368076055752	-0.00749933470731058	0.0017522718817122	0.00115130837678431	0.00368641743833827	0.00987103438654982
MA0004.1_Arnt	0.00950940409572875	0.00256729093607164	0.00558989059460306	0.00436703024221592	-0.0118926429041625	-0.00542647015229095	-0.00191024385269269
